ticker,pdufa_date,outcome,confidence
ACAD,2023-03-12,Approved,original
KRYS,2023-05-19,Approved,original
SRPT,2023-06-22,Approved,original
BMRN,2023-06-30,Approved,original
PHAT,2023-11-17,Approved,original
IOVA,2024-02-24,Approved,original
MDGL,2024-03-14,Approved,original
GERN,2024-06-16,Approved,original
IONS,2024-12-19,Approved,original
NBIX,2024-12-30,Approved,original
VRTX,2025-01-30,Approved,original
AXSM,2025-01-31,Approved,original
ALNY,2025-03-23,Approved,original
INSM,2025-08-12,Approved,original
CRNX,2025-09-25,Approved,original
CYTK,2025-12-26,Approved,original
