ticker,pdufa_date,outcome,confidence
ARQT,2026-06-30,Approved,other
UNCY,2026-06-30,CRL,other
VRDN,2026-06-29,Approved,other
ABBV,2026-06-26,Approved,other
VRDN,2026-06-26,Approved,other
LNTH,2026-06-26,CRL,other
PFE,2026-06-24,Approved,other
IONS,2026-06-24,Approved,other
GILD,2026-06-24,Approved,other
MRK,2026-06-24,Approved,other
ACHV,2026-06-22,CRL,other
MRK,2026-06-18,Approved,other
GSK,2026-06-17,Approved,other
SPRO,2026-06-17,Approved,other
ABBV,2026-06-16,Approved,other
BAYRY,2026-06-15,Approved,other
MRK,2026-06-12,Approved,other
AZN,2026-06-12,Approved,other
LLY,2026-06-09,Approved,other
PFE,2026-06-08,Approved,other
XOMA,2026-06-08,Approved,other
LGND,2026-06-08,Approved,other
ZVRA,2026-06-08,Approved,other
AMRX,2026-06-04,Approved,other
CING,2026-06-02,CRL,other
BMY,2026-06-01,Approved,other
JNJ,2026-05-29,Approved,other
MNKD,2026-05-29,Approved,other
AZN,2026-05-28,Approved,other
IRWD,2026-05-27,Approved,other
ABBV,2026-05-27,Approved,other
PGEN,2026-05-27,Approved,other
GILD,2026-05-26,Approved,other
AZN,2026-05-22,Approved,other
AZN,2026-05-18,Approved,other
SPRY,2026-05-15,Approved,other
AZN,2026-05-15,Approved,other
ONC,2026-05-13,Approved,other
ARGX,2026-05-08,Approved,other
ADMA,2026-05-04,Approved,other
PFE,2026-05-01,Approved,other
ARVN,2026-05-01,Approved,other
INCY,2026-05-01,Approved,other
AXSM,2026-04-30,Approved,other
JAGX,2026-04-29,Approved,other
AZN,2026-04-28,Approved,other
AZN,2026-04-27,Approved,other
REGN,2026-04-23,Approved,other
GRCE,2026-04-23,CRL,other
ABBV,2026-04-23,CRL,other
REGN,2026-04-22,Approved,other
SNY,2026-04-22,Approved,other
MRK,2026-04-21,Approved,other
LGND,2026-04-13,Approved,other
TVTX,2026-04-13,Approved,other
REPL,2026-04-10,CRL,other
ANIP,2026-04-08,Approved,other
INCY,2026-04-08,CRL,other
MGNX,2026-04-08,CRL,other
OTLK,2026-04-07,CRL,other
REGN,2026-04-02,Approved,other
LLY,2026-04-01,Approved,other
IONS,2026-03-30,Approved,other
BIIB,2026-03-30,Approved,other
TEVA,2026-03-30,Approved,other
RCKT,2026-03-27,Approved,other
NVO,2026-03-26,Approved,other
DNLI,2026-03-25,Approved,other
CORT,2026-03-25,Approved,other
RYTM,2026-03-20,Approved,other
BMY,2026-03-20,Approved,other
GSK,2026-03-19,Approved,other
NVO,2026-03-19,Approved,other
JNJ,2026-03-18,Approved,other
PTGX,2026-03-18,Approved,other
ALDX,2026-03-17,CRL,other
GSK,2026-03-13,Approved,other
NVS,2026-03-13,Approved,other
LNTH,2026-03-06,Approved,other
BMY,2026-03-06,Approved,other
HALO,2026-03-05,Approved,other
JNJ,2026-03-05,Approved,other
OTLK,2026-03-05,CRL,other
NVO,2026-03-03,Approved,other
ASND,2026-02-27,Approved,other
BMRN,2026-02-27,Approved,other
AMPH,2026-02-24,Approved,other
PFE,2026-02-24,Approved,other
RHHBY,2026-02-20,Approved,other
VNDA,2026-02-20,Approved,other
HRMY,2026-02-17,Approved,other
EBS,2026-02-13,Approved,other
IRON,2026-02-13,CRL,other
NVCR,2026-02-12,Approved,other
MRK,2026-02-11,Approved,other
RGNX,2026-02-09,CRL,other
GILD,2026-02-06,Approved,other
VERA,2026-07-07,Approved,other
AZN,2026-06-30,Approved,other
VRDN,2026-06-30,Approved,other
IONS,2026-06-30,Approved,other
UNCY,2026-06-29,CRL,other
ARQT,2026-06-29,Approved,other
LNTH,2026-06-29,CRL,other
ACHV,2026-06-20,CRL,other
GSK,2026-06-18,Approved,other
SPRO,2026-06-18,Approved,other
ASND,2026-02-28,Approved,price-only
ETON,2026-02-25,Approved,price-only
