ticker,pdufa_date,outcome,confidence,drug
IMCR,2022-01-25,Approved,drugscom-approval,Kimmtrak
CTIC,2022-02-28,Approved,drugscom-approval,Vonjo
AGIO,2022-02-17,Approved,drugscom-approval,Pyrukynd
MRNS,2022-03-18,Approved,drugscom-approval,Ztalmy
BTAI,2022-04-05,Approved,drugscom-approval,Igalmi
SLGL,2022-04-22,Approved,drugscom-approval,Epsolay
PHAT,2022-05-03,Approved,drugscom-approval,VoqueznaTriplePak
ARQT,2022-07-29,Approved,drugscom-approval,Zoryve
CHRS,2022-08-02,Approved,drugscom-approval,Cimerli
BLUE,2022-08-17,Approved,drugscom-approval,Zynteglo
AXSM,2022-08-18,Approved,drugscom-approval,Auvelity
RVNC,2022-09-07,Approved,drugscom-approval,Daxxify
SPPI,2022-09-09,Approved,drugscom-approval,Rolvedon
HRTX,2022-09-16,Approved,drugscom-approval,Aponvie
FENC,2022-09-20,Approved,drugscom-approval,Pedmark
HROW,2022-09-27,Approved,drugscom-approval,Iheezo
AMLX,2022-09-29,Approved,drugscom-approval,Relyvrio
SCPH,2022-10-07,Approved,drugscom-approval,Furoscix
PRVB,2022-11-17,Approved,drugscom-approval,Tzield
FMTX,2022-12-01,Approved,drugscom-approval,Rezlidhia
MRTX,2022-12-12,Approved,drugscom-approval,Krazati
ACER,2022-12-22,Approved,drugscom-approval,Olpruva
TGTX,2022-12-28,Approved,drugscom-approval,Briumvi
VCEL,2022-12-28,Approved,drugscom-approval,NexoBrid
TVTX,2023-02-17,Approved,drugscom-approval,Filspari
APLS,2023-02-17,Approved,drugscom-approval,Syfovre
RETA,2023-02-28,Approved,drugscom-approval,Skyclarys
ACAD,2023-03-10,Approved,drugscom-approval,Daybue
CDTX,2023-03-22,Approved,drugscom-approval,Rezzayo
MCRB,2023-04-26,Approved,drugscom-approval,Vowst
AVDL,2023-05-01,Approved,drugscom-approval,Lumryz
PLX,2023-05-09,Approved,drugscom-approval,Elfabrio
EYEN,2023-05-05,Approved,drugscom-approval,Mydcombi
KRYS,2023-05-19,Approved,drugscom-approval,Vyjuvek
OPNT,2023-05-22,Approved,drugscom-approval,Opvee
INVA,2023-05-23,Approved,drugscom-approval,Xacduro
LXRX,2023-05-26,Approved,drugscom-approval,Inpefa
SRPT,2023-06-22,Approved,drugscom-approval,Elevidys
BMRN,2023-06-29,Approved,drugscom-approval,Roctavian
VRCA,2023-07-21,Approved,drugscom-approval,Ycanth
TARS,2023-07-25,Approved,drugscom-approval,Xdemvy
SAGE,2023-08-04,Approved,drugscom-approval,Zurzuvae
DCTH,2023-08-14,Approved,drugscom-approval,Hepzato
BLRX,2023-09-08,Approved,drugscom-approval,Aphexda
OCUP,2023-09-25,Approved,drugscom-approval,Ryzumvi
FOLD,2023-09-28,Approved,drugscom-approval,Pombiliti
ARDX,2023-10-17,Approved,drugscom-approval,Xphozah
CPRX,2023-10-26,Approved,drugscom-approval,Agamree
PHAT,2023-11-01,Approved,drugscom-approval,Voquezna
CRMD,2023-11-15,Approved,drugscom-approval,DefenCath
SWTX,2023-11-27,Approved,drugscom-approval,Ogsiveo
GKOS,2023-12-13,Approved,drugscom-approval,iDoseTR
