ticker,pdufa_date,review_priority,prior_fda_approvals
ARQT,2026-06-30,STANDARD,2
UNCY,2026-06-30,,0
VRDN,2026-06-29,,0
ABBV,2026-06-26,STANDARD,96
VRDN,2026-06-26,,0
LNTH,2026-06-26,,1
PFE,2026-06-24,STANDARD,92
IONS,2026-06-24,,0
GILD,2026-06-24,,6
MRK,2026-06-24,,58
ACHV,2026-06-22,,0
MRK,2026-06-18,,58
GSK,2026-06-17,,0
SPRO,2026-06-17,,0
ABBV,2026-06-16,STANDARD,96
BAYRY,2026-06-15,,6
MRK,2026-06-12,,58
AZN,2026-06-12,STANDARD,59
LLY,2026-06-09,STANDARD,68
PFE,2026-06-08,STANDARD,92
XOMA,2026-06-08,,0
LGND,2026-06-08,,0
ZVRA,2026-06-08,,0
AMRX,2026-06-04,,100
CING,2026-06-02,,0
BMY,2026-06-01,STANDARD,21
JNJ,2026-05-29,,0
MNKD,2026-05-29,STANDARD,1
AZN,2026-05-28,STANDARD,59
IRWD,2026-05-27,,0
ABBV,2026-05-27,PRIORITY,96
PGEN,2026-05-27,,0
GILD,2026-05-26,,6
AZN,2026-05-22,STANDARD,59
AZN,2026-05-18,STANDARD,59
SPRY,2026-05-15,,0
AZN,2026-05-15,STANDARD,59
ONC,2026-05-13,,0
ARGX,2026-05-08,,0
ADMA,2026-05-04,,0
PFE,2026-05-01,STANDARD,92
ARVN,2026-05-01,,0
INCY,2026-05-01,,0
AXSM,2026-04-30,STANDARD,2
JAGX,2026-04-29,,0
AZN,2026-04-28,STANDARD,59
AZN,2026-04-27,STANDARD,59
REGN,2026-04-23,,0
GRCE,2026-04-23,,0
ABBV,2026-04-23,,96
REGN,2026-04-22,,0
SNY,2026-04-22,,5
MRK,2026-04-21,,58
LGND,2026-04-13,,0
TVTX,2026-04-13,STANDARD,1
REPL,2026-04-10,,0
ANIP,2026-04-08,,0
INCY,2026-04-08,,0
MGNX,2026-04-08,,0
OTLK,2026-04-07,,0
REGN,2026-04-02,,0
LLY,2026-04-01,,68
IONS,2026-03-30,,0
BIIB,2026-03-30,STANDARD,6
TEVA,2026-03-30,,84
RCKT,2026-03-27,,0
NVO,2026-03-26,STANDARD,10
DNLI,2026-03-25,,0
CORT,2026-03-25,,0
RYTM,2026-03-20,PRIORITY,1
BMY,2026-03-20,STANDARD,21
GSK,2026-03-19,,0
NVO,2026-03-19,STANDARD,10
JNJ,2026-03-18,,0
PTGX,2026-03-18,,0
ALDX,2026-03-17,,0
GSK,2026-03-13,,0
NVS,2026-03-13,STANDARD,88
LNTH,2026-03-06,,1
BMY,2026-03-06,STANDARD,21
HALO,2026-03-05,,0
JNJ,2026-03-05,,0
OTLK,2026-03-05,,0
NVO,2026-03-03,STANDARD,10
ASND,2026-02-27,PRIORITY,0
BMRN,2026-02-27,,2
AMPH,2026-02-24,,0
PFE,2026-02-24,STANDARD,92
RHHBY,2026-02-20,,19
VNDA,2026-02-20,,0
HRMY,2026-02-17,PRIORITY,2
EBS,2026-02-13,STANDARD,2
IRON,2026-02-13,,0
NVCR,2026-02-12,,0
MRK,2026-02-11,,58
RGNX,2026-02-09,,0
GILD,2026-02-06,,6
VERA,2026-07-07,,0
AZN,2026-06-30,STANDARD,59
VRDN,2026-06-30,,0
IONS,2026-06-30,,0
UNCY,2026-06-29,,0
ARQT,2026-06-29,STANDARD,2
LNTH,2026-06-29,,1
ACHV,2026-06-20,,0
GSK,2026-06-18,,0
SPRO,2026-06-18,,0
ASND,2026-02-28,PRIORITY,1
ETON,2026-02-25,STANDARD,6
REGN,2026-02-24,,0
SNY,2026-02-24,,5
VNDA,2026-02-21,,0
AZN,2026-02-20,STANDARD,59
ABBV,2026-02-20,STANDARD,96
MRK,2026-02-20,,58
JNJ,2026-02-17,,0
INVA,2026-02-17,,0
IRON,2026-02-15,,0
RGNX,2026-02-08,,0
AQST,2026-02-02,,2
PHAR,2026-02-01,,1
GKOS,2026-01-28,STANDARD,5
JNJ,2026-01-27,,0
GLSI,2026-01-22,,0
IBRX,2026-01-16,,0
EBS,2026-01-14,STANDARD,2
FBIO,2026-01-13,,0
ATRA,2026-01-12,,0
OTLK,2025-12-31,,0
CORT,2025-12-31,,0
VNDA,2025-12-30,,0
SNY,2025-12-28,,5
OMER,2025-12-24,,0
AGIO,2025-12-23,,0
NVO,2025-12-22,STANDARD,9
AMRX,2025-12-22,,98
RHHBY,2025-12-22,STANDARD,19
CRSP,2025-12-22,,0
CYTK,2025-12-19,STANDARD,0
PBM,2025-12-19,,0
COCP,2025-12-18,,0
JNJ,2025-12-18,,0
PFE,2025-12-17,STANDARD,92
MRK,2025-12-17,,58
ALPMY,2025-12-17,STANDARD,39
GILD,2025-12-16,,6
DSNKY,2025-12-15,,1
MIST,2025-12-15,,0
JNJ,2025-12-15,,0
AZN,2025-12-15,,59
INVA,2025-12-15,,0
AMPH,2025-12-15,,0
ACAD,2025-12-12,,0
BCRX,2025-12-12,PRIORITY,3
AMGN,2025-12-11,,9
GSK,2025-12-11,,0
AAPG,2025-12-09,,0
LYEL,2025-12-08,,0
ONC,2025-12-08,,0
AUTL,2025-12-08,,0
ALXO,2025-12-08,,0
NRIX,2025-12-08,,0
CLLS,2025-12-07,,0
IMMX,2025-12-07,,0
CASI,2025-12-07,,
GLPG,2025-12-07,,
PRTC,2025-12-05,,
AXGN,2025-12-04,,0
BMY,2025-12-04,,21
PLRX,2025-12-04,,0
LLY,2025-12-03,,68
AMRN,2025-12-02,,0
AMRX,2025-12-01,,98
JANX,2025-12-01,,0
AZN,2025-11-25,STANDARD,59
SRPT,2025-11-25,,0
RHHBY,2025-11-25,,19
NVS,2025-11-24,STANDARD,88
MRK,2025-11-21,,58
ALPMY,2025-11-21,PRIORITY,39
PFE,2025-11-21,STANDARD,92
BAYRY,2025-11-20,,6
AZN,2025-11-20,STANDARD,59
