ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,mae,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
ARQT,2026-06-30,Approved,other,P,2026,2026-05-29,2026-06-23,21.46,0.224138,0.147437,1,-0.045666,46876614.0,-0.080942,0.042077,1,0.073173,15.32,4.453,0.1239,OOS
UNCY,2026-06-30,CRL,other,P,2026,2026-05-29,2026-06-23,7.38,0.086721,0.010019,1,-0.098916,5367003.0,-0.03781,0.040978,1,0.073173,15.32,4.453,0.1239,OOS
VRDN,2026-06-29,Approved,other,P,2026,2026-05-29,2026-06-22,17.62,0.000567,-0.067566,0,-0.120318,60911613.0,0.307122,0.081068,1,0.073173,15.32,4.453,0.1239,OOS
ABBV,2026-06-26,Approved,other,P,2026,2026-05-27,2026-06-18,215.4,0.00506,-0.041574,0,-0.029759,1242695191.0,0.091296,0.014579,1,0.048098,16.29,4.481,0.107,OOS
VRDN,2026-06-26,Approved,other,P,2026,2026-05-27,2026-06-18,17.26,-0.036501,-0.083135,0,-0.10197,60412024.0,0.278519,0.079553,1,0.048098,16.29,4.481,0.107,OOS
LNTH,2026-06-26,CRL,other,P,2026,2026-05-27,2026-06-18,99.09,0.048138,0.001504,1,-0.041276,108157652.0,0.1781,0.029538,1,0.048098,16.29,4.481,0.107,OOS
PFE,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,25.9,0.000772,-0.05794,0,-0.024324,959727152.0,-0.024907,0.008851,1,0.036938,16.7,4.558,0.1313,OOS
IONS,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,75.56,-0.016543,-0.075255,0,-0.04685,143453373.0,0.031254,0.016508,1,0.036938,16.7,4.558,0.1313,OOS
GILD,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,133.4827,-0.060178,-0.11889,0,-0.090594,822216047.0,0.030368,0.01403,1,0.036938,16.7,4.558,0.1313,OOS
MRK,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,121.536,-0.050158,-0.10887,0,-0.065544,1006146106.0,0.093923,0.017215,1,0.036938,16.7,4.558,0.1313,OOS
ACHV,2026-06-22,CRL,other,P,2026,2026-05-22,2026-06-15,4.69,0.19403,0.158028,1,-0.044776,6246771.0,0.13012,0.051826,1,0.036938,16.7,4.558,0.1313,OOS
MRK,2026-06-18,Approved,other,P,2026,2026-05-19,2026-06-11,113.4243,0.057073,0.010145,1,-0.011764,945384387.0,-0.040564,0.01497,1,0.009475,18.06,4.667,0.1442,OOS
GSK,2026-06-17,Approved,other,P,2026,2026-05-18,2026-06-10,50.26,0.018106,0.008863,1,-0.033625,223625462.0,-0.130783,0.01607,1,0.024392,17.82,4.623,0.1409,OOS
SPRO,2026-06-17,Approved,other,P,2026,2026-05-18,2026-06-10,2.58,-0.015504,-0.024747,0,-0.031008,1423454.0,-0.061818,0.040419,1,0.024392,17.82,4.623,0.1409,OOS
ABBV,2026-06-16,Approved,other,P,2026,2026-05-15,2026-06-09,210.39,0.071439,0.066159,1,-0.012881,1360479422.0,0.009646,0.016086,1,0.063731,18.43,4.595,0.1329,OOS
BAYRY,2026-06-15,Approved,other,P,2026,2026-05-15,2026-06-08,10.9,-0.068807,-0.051514,0,-0.121101,16957823.0,-0.0735,0.024851,1,0.063731,18.43,4.595,0.1329,OOS
MRK,2026-06-12,Approved,other,P,2026,2026-05-13,2026-06-05,112.64,0.064698,0.117551,1,-0.015092,1048498166.0,-0.055764,0.016393,1,0.089852,17.87,4.481,0.0741,OOS
AZN,2026-06-12,Approved,other,P,2026,2026-05-13,2026-06-05,187.72,-0.009429,0.043424,1,-0.069891,391715324.0,-0.071796,0.013211,1,0.089852,17.87,4.481,0.0741,OOS
LLY,2026-06-09,Approved,other,P,2026,2026-05-08,2026-06-02,946.8201,0.12392,0.175512,1,-0.00376,3213583494.0,0.009559,0.028554,1,0.073301,17.19,4.364,0.0376,OOS
PFE,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,25.68,-0.001947,0.006144,1,-0.019081,979438603.0,-0.041003,0.009982,1,0.073301,17.19,4.364,0.0376,OOS
XOMA,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,41.89,-0.004774,0.003317,1,-0.016472,17038172.0,0.139554,0.028621,1,0.073301,17.19,4.364,0.0376,OOS
