ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,rs_21,rs_63,rs_126,mom_126,beta_xbi,atr14,dnvol_60,review_priority,prior_fda_approvals,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
ARQT,2026-06-30,Approved,other,P,2026,2026-05-29,2026-06-23,21.46,0.224138,0.147437,1,-0.101114,-0.277474,-0.431611,-0.30166,1.2075,0.0467,0.02591,STANDARD,2,46876614.0,-0.080942,0.042077,1,0.073173,15.32,4.453,0.1239,OOS
UNCY,2026-06-30,CRL,other,P,2026,2026-05-29,2026-06-23,7.38,0.086721,0.010019,1,-0.029708,-0.008238,0.160258,0.29021,1.3531,0.07002,0.02564,,0,5367003.0,-0.03781,0.040978,1,0.073173,15.32,4.453,0.1239,OOS
VRDN,2026-06-29,Approved,other,P,2026,2026-05-29,2026-06-22,17.62,0.000567,-0.067566,0,0.264378,-0.473445,-0.568984,-0.439032,0.9264,0.04784,0.05701,,0,60911613.0,0.307122,0.081068,1,0.073173,15.32,4.453,0.1239,OOS
ABBV,2026-06-26,Approved,other,P,2026,2026-05-27,2026-06-18,215.4,0.00506,-0.041574,0,0.080698,-0.09099,-0.229817,-0.073411,0.3195,0.02369,0.0115,STANDARD,96,1242695191.0,0.091296,0.014579,1,0.048098,16.29,4.481,0.107,OOS
VRDN,2026-06-26,Approved,other,P,2026,2026-05-27,2026-06-18,17.26,-0.036501,-0.083135,0,0.26792,-0.451691,-0.58752,-0.431114,0.9375,0.05118,0.05715,,0,60412024.0,0.278519,0.079553,1,0.048098,16.29,4.481,0.107,OOS
LNTH,2026-06-26,CRL,other,P,2026,2026-05-27,2026-06-18,99.09,0.048138,0.001504,1,0.167502,0.260539,0.618764,0.77517,0.392,0.04154,0.01355,,1,108157652.0,0.1781,0.029538,1,0.048098,16.29,4.481,0.107,OOS
PFE,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,25.9,0.000772,-0.05794,0,0.008201,-0.064006,-0.077767,0.075906,0.2518,0.01928,0.00888,STANDARD,92,959727152.0,-0.024907,0.008851,1,0.036938,16.7,4.558,0.1313,OOS
IONS,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,75.56,-0.016543,-0.075255,0,0.040883,-0.143794,-0.132592,0.021081,0.66,0.03094,0.01319,,0,143453373.0,0.031254,0.016508,1,0.036938,16.7,4.558,0.1313,OOS
GILD,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,133.4827,-0.060178,-0.11889,0,0.02643,-0.135096,-0.091633,0.06204,0.3072,0.02466,0.01028,,6,822216047.0,0.030368,0.01403,1,0.036938,16.7,4.558,0.1313,OOS
MRK,2026-06-24,Approved,other,P,2026,2026-05-22,2026-06-17,121.536,-0.050158,-0.10887,0,0.089006,-0.041003,0.154803,0.308476,0.2338,0.02146,0.01061,,58,1006146106.0,0.093923,0.017215,1,0.036938,16.7,4.558,0.1313,OOS
