ticker,marketCap,tier,shares,float,avgvol3m,name
AAPG,1863944192,500M-2B,93337216,93337216,10983,Ascentage Pharma Group Internat
ABBV,438305980416,>10B,1766792821,1766792821,7214503,AbbVie Inc.
ABEO,397826112,<500M,56995144,56995144,1184540,Abeona Therapeutics Inc.
ACAD,4489804288,2-10B,171235870,171235870,1717040,ACADIA Pharmaceuticals Inc.
ACHV,627246848,500M-2B,102659057,102659057,2089609,"Achieve Life Sciences, Inc."
ADCT,164076592,<500M,127191158,127191158,1949322,ADC Therapeutics SA
ADMA,2104496256,2-10B,231772715,231772715,5060957,"ADMA Biologics, Inc."
AGIO,2452014336,2-10B,59471609,59471609,1159621,"Agios Pharmaceuticals, Inc."
ALC,33070936064,>10B,487700000,487700000,2110990,Alcon Inc.
ALDX,124864608,<500M,60321068,60321068,1403536,"Aldeyra Therapeutics, Inc."
ALLO,690309120,500M-2B,345154561,345154561,10537149,"Allogene Therapeutics, Inc."
ALNY,39888220160,>10B,133512573,133512573,1236491,"Alnylam Pharmaceuticals, Inc."
ALPMY,23737272320,>10B,1791492258,1791492258,190604,Astellas Pharma Inc.
ALVO,1109361024,500M-2B,338219831,338219831,697627,Alvotech
ALXO,285946176,<500M,134562917,134562917,1398909,ALX Oncology Holdings Inc.
AMGN,196124606464,>10B,539708274,539708274,2719393,Amgen Inc.
AMPH,825419456,500M-2B,44092919,44092919,614986,"Amphastar Pharmaceuticals, Inc."
AMRN,312020320,<500M,20969109,20969109,83162,Amarin Corporation plc
AMRX,5431826432,2-10B,319331346,319331346,1888208,"Amneal Pharmaceuticals, Inc."
ANIK,207567744,<500M,13305624,13305624,92581,"Anika Therapeutics, Inc."
ANIP,1865830144,500M-2B,22734618,22734618,342957,"ANI Pharmaceuticals, Inc."
ANTE,,n/a,,,,
APLS,,n/a,,,,
APTO,,n/a,,,,
AQST,516924000,500M-2B,125466988,125466988,1801695,"Aquestive Therapeutics, Inc."
ARGX,54846832640,>10B,62187771,62187771,340508,argenx SE
ARQT,3469812736,2-10B,125083374,125083374,1783578,"Arcutis Biotherapeutics, Inc."
ARVN,533590368,500M-2B,64521198,64521198,837536,"Arvinas, Inc."
ARWR,10761477120,>10B,140857021,140857021,2093626,"Arrowhead Pharmaceuticals, Inc."
ASND,17739581440,>10B,65592830,65592830,774209,Ascendis Pharma A/S
ATRA,87939280,<500M,9010172,9010172,1446483,"Atara Biotherapeutics, Inc."
AURA,707505088,500M-2B,103436416,103436416,651144,"Aura Biosciences, Inc."
AUTL,428490688,<500M,266143286,266143286,1374780,Autolus Therapeutics plc
AVBP,1569109248,500M-2B,46574928,46574928,550270,"ArriVent BioPharma, Inc."
AXGN,2157956096,2-10B,53177824,53177824,1260093,"Axogen, Inc."
AXSM,12031293440,>10B,51459766,51459766,929640,"Axsome Therapeutics, Inc."
AZN,266145988608,>10B,1550876987,1550876987,2101385,AstraZeneca PLC
BAYRY,56116060160,>10B,3929696328,3929696328,1429632,Bayer Aktiengesellschaft
BCAB,6339496,<500M,1659554,1659554,51000,"BioAtla, Inc."
BCRX,2655999744,2-10B,254162660,254162660,5061754,"BioCryst Pharmaceuticals, Inc."
BCTX,34277160,<500M,8699787,8699787,217765,BriaCell Therapeutics Corp.
BHVN,2341223424,2-10B,150560990,150560990,2883604,Biohaven Ltd.
BIIB,29401931776,>10B,147637117,147637117,1189524,Biogen Inc.
BMRN,11426975744,>10B,193284438,193284438,2066411,BioMarin Pharmaceutical Inc.
BMY,117582471168,>10B,2042071247,2042071247,11499359,Bristol-Myers Squibb Company
BNTX,23136380928,>10B,252884261,252884261,958473,BioNTech SE
CAPR,1245684864,500M-2B,57911893,57911893,1204524,"Capricor Therapeutics, Inc."
CASI,,n/a,,,,
CGEM,1114234368,500M-2B,61458046,61458046,1084773,"Cullinan Therapeutics, Inc."
CGON,6636354048,2-10B,88202473,88202473,1069640,"CG Oncology, Inc."
CHRS,237544848,<500M,154249900,154249900,1174714,"Coherus Oncology, Inc."
CING,66132964,<500M,13469036,13469036,566591,Cingulate Inc.
CLDI,2721007,<500M,19311625,19311625,6166137,"Calidi Biotherapeutics, Inc."
CLDX,3069825024,2-10B,78492072,78492072,963891,"Celldex Therapeutics, Inc."
CLLS,301087488,<500M,72698158,72698158,33811,Cellectis S.A.
