date,open,high,low,close,adjclose,volume
2021-08-02,320.75,328.0,317.75,323.0,323.0,17524
2021-08-03,325.75,325.75,311.25,314.75,314.75,40736
2021-08-04,314.0,321.0,309.0,310.0,310.0,13900
2021-08-05,309.25,323.0,305.75,321.75,321.75,21860
2021-08-06,321.25,323.25,311.25,316.0,316.0,17100
2021-08-09,315.25,320.0,309.5249938964844,312.25,312.25,12060
2021-08-10,328.75,341.5,315.25,318.5,318.5,42500
2021-08-11,316.75,317.625,307.5,313.75,313.75,18976
2021-08-12,313.75,317.5,310.0,314.0,314.0,23464
2021-08-13,313.0,315.75,309.07501220703125,311.25,311.25,11596
2021-08-16,310.75,315.625,305.25,310.25,310.25,14372
2021-08-17,304.5,318.5,304.5,317.25,317.25,24180
2021-08-18,317.0,322.75,309.0,312.75,312.75,24792
2021-08-19,312.0,316.75,298.75,299.75,299.75,27832
2021-08-20,297.0,322.25,295.25,315.75,315.75,27672
2021-08-23,317.5,352.5,315.25,338.75,338.75,43444
2021-08-24,338.0,339.25,327.0,339.0,339.0,16928
2021-08-25,340.5,352.0,336.25,345.75,345.75,50552
2021-08-26,343.25,353.125,340.125,346.75,346.75,16440
2021-08-27,346.25,369.75,343.25,367.5,367.5,45744
2021-08-30,369.0,379.5,366.0,368.25,368.25,33396
2021-08-31,368.5,378.5,366.25,374.5,374.5,95808
2021-09-01,373.5,396.0,368.25,392.25,392.25,29408
2021-09-02,395.0,406.5,392.75,403.0,403.0,24232
2021-09-03,400.0,403.25,388.5,389.0,389.0,24048
2021-09-07,387.0,394.0,377.0,382.75,382.75,25856
2021-09-08,382.5,382.5,368.25,372.5,372.5,20028
2021-09-09,370.25,383.25,364.5,376.75,376.75,16400
2021-09-10,377.25,395.25,368.75,392.0,392.0,28768
2021-09-13,394.125,407.5,381.75,401.75,401.75,41656
2021-09-14,400.75,401.25,387.5,391.5,391.5,25212
2021-09-15,392.0,404.0,387.75,397.5,397.5,18092
2021-09-16,397.0,402.0,386.75,396.75,396.75,27036
2021-09-17,400.25,406.25,385.75,402.0,402.0,64332
2021-09-20,386.75,410.0,386.75,406.0,406.0,32964
2021-09-21,406.75,416.95001220703125,402.25,409.5,409.5,28472
2021-09-22,411.0,426.75,409.25,419.75,419.75,35728
2021-09-23,422.5,434.75,419.75,432.5,432.5,26832
2021-09-24,426.25,431.0,422.75,425.0,425.0,15644
2021-09-27,429.25,442.5,426.25,436.75,436.75,33104
2021-09-28,434.92498779296875,454.0,432.0,434.75,434.75,64304
2021-09-29,443.75,447.25,431.25,438.75,438.75,30388
2021-09-30,440.5,458.75,434.75,447.5,447.5,33696
2021-10-01,443.25,450.0,426.0,437.5,437.5,50600
2021-10-04,436.75,448.125,432.5,436.25,436.25,35824
2021-10-05,441.5,446.0,426.75,437.0,437.0,34260
2021-10-06,426.125,442.0,426.125,435.25,435.25,24344
2021-10-07,436.5,444.125,432.5,440.5,440.5,30280
2021-10-08,439.25,439.25,422.6499938964844,426.25,426.25,21916
2021-10-11,428.75,430.5,420.75,423.25,423.25,20364
2021-10-12,424.25,450.25,420.25,449.5,449.5,46264
2021-10-13,447.5,449.25,383.5,391.5,391.5,73512
2021-10-14,396.75,399.5,375.25,394.0,394.0,57684
2021-10-15,398.75,399.25,377.5,378.0,378.0,31924
2021-10-18,376.75,381.8999938964844,363.75,367.5,367.5,25140
2021-10-19,366.75,379.25,360.25,378.25,378.25,33712
2021-10-20,375.5,395.625,375.5,392.75,392.75,21328
2021-10-21,392.75,399.25,386.25,395.25,395.25,19856
2021-10-22,391.75,401.5,388.75,400.75,400.75,23748
2021-10-25,401.75,401.75,378.5,379.5,379.5,36084
2021-10-26,382.5,384.0,374.0,380.0,380.0,27936
2021-10-27,380.0,382.0,374.5,374.5,374.5,24212
2021-10-28,375.25,391.25,372.0,391.0,391.0,21684
2021-10-29,404.5,404.5,385.0,387.0,387.0,14424
2021-11-01,390.0,414.5,382.0,412.75,412.75,22388
2021-11-02,410.25,434.75,399.25,434.0,434.0,30212
2021-11-03,434.75,471.0,429.5,468.75,468.75,39156
2021-11-04,459.25,501.0,452.0,497.25,497.25,38796
2021-11-05,486.5,486.5,452.25,454.25,454.25,34900
2021-11-08,458.5,461.25,435.0,441.0,441.0,69940
2021-11-09,442.75,451.0,434.5,448.25,448.25,27048
2021-11-10,442.5,452.75,430.25,432.5,432.5,17128
2021-11-11,438.25,445.0,434.25,438.5,438.5,22096
2021-11-12,440.5,444.25,433.75,440.5,440.5,33948
2021-11-15,441.0,450.0,423.75,426.75,426.75,62956
2021-11-16,411.75,436.25,407.57501220703125,434.25,434.25,40516
2021-11-17,432.5,448.0,432.5,445.0,445.0,54780
2021-11-18,447.25,452.25,439.875,445.75,445.75,28176
2021-11-19,441.75,462.5,437.5,457.5,457.5,21760
2021-11-22,461.5,471.25,452.5,454.75,454.75,36616
2021-11-23,453.25,455.0,428.0,451.75,451.75,29500
2021-11-24,449.25,454.5,440.25,453.75,453.75,13620
2021-11-26,445.25,451.75,425.75,439.25,439.25,16572
2021-11-29,439.25,458.70001220703125,437.25,444.75,444.75,30600
2021-11-30,441.25,449.5,430.75,447.25,447.25,18988
2021-12-01,451.25,465.25,433.75,434.0,434.0,36084
2021-12-02,425.625,453.0,425.625,450.25,450.25,19480
2021-12-03,454.75,456.5,420.75,427.25,427.25,24816
2021-12-06,425.0,435.75,409.0,424.5,424.5,27864
2021-12-07,425.0,457.75,425.0,447.25,447.25,28500
2021-12-08,449.75,450.625,435.25,438.0,438.0,31032
2021-12-09,433.25,437.75,403.25,407.75,407.75,37212
