date,open,high,low,close,adjclose
2024-07-01,67.0,70.25,64.5,67.5,67.5
2024-07-02,68.0,70.5,63.0,66.0,66.0
2024-07-03,67.0,72.5,64.5,71.5,71.5
2024-07-05,71.5,71.5,66.0,66.0,66.0
2024-07-08,66.0,68.5,62.0,63.5,63.5
2024-07-09,65.5,65.5,57.0,58.5,58.5
2024-07-10,63.5,72.3499984741211,59.5,71.0,71.0
2024-07-11,74.0,83.0,72.0,80.0,80.0
2024-07-12,81.5,91.0,79.0,90.0,90.0
2024-07-15,92.5,96.0,83.0,87.5,87.5
2024-07-16,89.0,104.5,87.5,102.5,102.5
2024-07-17,100.0,100.0,78.5,90.5,90.5
2024-07-18,93.0,93.25,85.5,89.0,89.0
2024-07-19,87.5,89.0,81.5,85.0,85.0
2024-07-22,84.5,89.0,83.5,87.0,87.0
2024-07-23,90.0,95.30000305175781,83.5,87.5,87.5
2024-07-24,84.0,90.0,83.5,85.5,85.5
2024-07-25,84.5,90.0,84.5,85.0,85.0
2024-07-26,85.0,86.25,79.5,81.0,81.0
2024-07-29,82.0,85.0,77.0,82.5,82.5
2024-07-30,82.0,84.0,80.25,81.5,81.5
2024-07-31,83.0,96.0,80.0,90.5,90.5
2024-08-01,92.5,93.0,82.5,87.5,87.5
2024-08-02,84.0,85.0,77.0,79.5,79.5
2024-08-05,70.5,77.5,66.5,77.5,77.5
2024-08-06,77.0,78.0,71.5,72.0,72.0
2024-08-07,72.5,74.5,68.5,69.5,69.5
2024-08-08,73.0,76.5,68.5,73.5,73.5
2024-08-09,75.0,79.0,71.0,73.5,73.5
2024-08-12,74.0,75.0,68.5,69.5,69.5
2024-08-13,72.5,72.5,68.25,70.0,70.0
2024-08-14,69.5,86.5,66.0,84.0,84.0
2024-08-15,91.0,106.55000305175781,87.5,94.0,94.0
2024-08-16,96.0,96.75,87.5,95.0,95.0
2024-08-19,97.5,109.5,91.0,95.0,95.0
2024-08-20,94.0,97.5,90.5,94.5,94.5
2024-08-21,97.5,98.5,92.0,94.5,94.5
2024-08-22,98.0,98.0,88.5,90.0,90.0
2024-08-23,92.5,95.5,86.5,94.5,94.5
2024-08-26,96.0,97.0,89.5,93.5,93.5
2024-08-27,91.0,92.5,86.5,89.5,89.5
2024-08-28,88.5,90.4000015258789,85.6500015258789,89.5,89.5
2024-08-29,90.5,93.25,88.0,91.0,91.0
2024-08-30,90.0,92.5,86.0,88.5,88.5
2024-09-03,87.0,97.0,87.0,91.5,91.5
