date,open,high,low,close,adjclose
2024-07-01,680.0,720.0,624.0,664.0,664.0
2024-07-02,644.0,708.0,620.0,632.0,632.0
2024-07-03,628.0,640.0,600.0,608.0,608.0
2024-07-05,628.0,656.0,604.0,640.0,640.0
2024-07-08,640.0,676.0,636.0,664.0,664.0
2024-07-09,664.0,664.0,624.0,632.0,632.0
2024-07-10,640.0,658.7999877929688,612.0,624.0,624.0
2024-07-11,624.0,652.0,612.0,644.0,644.0
2024-07-12,656.0,715.2000122070312,632.0,680.0,680.0
2024-07-15,692.0,920.0,692.0,888.0,888.0
2024-07-16,848.0,850.0,708.0,732.0,732.0
2024-07-17,740.0,750.4000244140625,668.0,704.0,704.0
2024-07-18,692.0,712.0,672.0,684.0,684.0
2024-07-19,676.0,690.0,629.2000122070312,656.0,656.0
2024-07-22,676.0,676.0,640.0,668.0,668.0
2024-07-23,668.0,672.0,644.0,664.0,664.0
2024-07-24,652.0,668.0,648.0,664.0,664.0
2024-07-25,660.0,668.0,644.0,660.0,660.0
2024-07-26,668.0,732.0,652.0,716.0,716.0
2024-07-29,700.0,756.0,688.0,736.0,736.0
2024-07-30,736.0,736.0,652.0,676.0,676.0
2024-07-31,676.0,698.0,656.0,664.0,664.0
2024-08-01,656.0,664.0,580.0,600.0,600.0
2024-08-02,580.0,612.0,560.0,592.0,592.0
2024-08-05,532.0,580.0,452.0,504.0,504.0
2024-08-06,528.0,528.0,492.0,512.0,512.0
2024-08-07,512.0,520.0,504.0,516.0,516.0
2024-08-08,508.0,508.0,464.0,476.0,476.0
2024-08-09,496.0,504.0,472.0,472.0,472.0
2024-08-12,468.0,472.0,448.0,452.0,452.0
2024-08-13,460.0,488.0,460.0,476.0,476.0
2024-08-14,480.0,492.0,444.0,452.0,452.0
2024-08-15,468.0,480.0,444.0,456.0,456.0
2024-08-16,448.0,476.0,441.6000061035156,456.0,456.0
2024-08-19,504.0,540.0,460.0,476.0,476.0
2024-08-20,468.0,500.0,424.0,488.0,488.0
2024-08-21,496.0,556.0,468.0,520.0,520.0
2024-08-22,540.0,564.0,512.0,552.0,552.0
2024-08-23,524.0,552.0,512.0,524.0,524.0
2024-08-26,524.0,560.0,508.0,552.0,552.0
2024-08-27,552.0,580.0,540.0,576.0,576.0
2024-08-28,572.0,572.0,547.2000122070312,564.0,564.0
2024-08-29,556.0,556.0,524.0,528.0,528.0
2024-08-30,544.0,544.0,524.0,524.0,524.0
2024-09-03,520.0,528.0,484.0,492.0,492.0
2024-09-04,512.0,512.0,500.0,504.0,504.0
2024-09-05,496.0,524.7999877929688,484.0,516.0,516.0
2024-09-06,516.0,516.0,472.79998779296875,512.0,512.0
2024-09-09,508.0,548.0,507.6000061035156,548.0,548.0
2024-09-10,548.0,552.0,528.7999877929688,532.0,532.0
2024-09-11,528.0,532.0,516.0,520.0,520.0
2024-09-12,528.0,560.0,512.0,528.0,528.0
2024-09-13,532.0,544.0,524.0,536.0,536.0
2024-09-16,548.0,548.0,520.0,532.0,532.0
2024-09-17,544.0,544.0,504.0,536.0,536.0
2024-09-18,532.0,536.0,522.0,528.0,528.0
2024-09-19,520.0,537.2000122070312,508.0,516.0,516.0
2024-09-20,504.0,516.0,484.0,484.0,484.0
2024-09-23,492.0,510.0,480.0,484.0,484.0
2024-09-24,484.0,504.0,482.0,492.0,492.0
2024-09-25,484.0,504.0,484.0,504.0,504.0
2024-09-26,496.0,504.0,488.0,496.0,496.0
2024-09-27,488.0,500.0,488.0,500.0,500.0
2024-09-30,492.0,500.0,488.0,488.0,488.0
2024-10-01,494.0,494.0,480.0,484.0,484.0
