date,open,high,low,close,adjclose
2024-07-01,120.25,123.0,120.0,123.0,123.0
2024-07-02,122.125,122.125,121.75,121.75,121.75
2024-07-03,121.375,122.5,120.0,121.25,121.25
2024-07-05,119.5,120.25,116.75,120.25,120.25
2024-07-08,123.0,123.0,117.5,119.0,119.0
2024-07-09,118.5,122.75,117.5,118.5,118.5
2024-07-10,122.5,122.5,118.0,122.5,122.5
2024-07-11,122.5,127.5,122.5,125.5,125.5
2024-07-12,124.0,127.25,124.0,127.25,127.25
2024-07-15,127.25,127.25,118.75,122.25,122.25
2024-07-16,123.75,127.25,121.5,123.0,123.0
2024-07-17,120.25,125.25,118.69999694824219,121.0,121.0
2024-07-18,121.25,124.25,121.25,121.25,121.25
2024-07-19,119.5,122.5,118.75,118.75,118.75
2024-07-22,117.5,121.75,117.5,121.5,121.5
2024-07-23,119.25,121.75,118.5,119.25,119.25
2024-07-24,115.75,121.5,115.67500305175781,118.25,118.25
2024-07-25,116.0,121.5999984741211,115.0,121.25,121.25
2024-07-26,118.5,122.75,116.5,117.5,117.5
2024-07-29,116.0,119.30000305175781,113.875,115.0,115.0
2024-07-30,114.75,122.0,114.75,120.5,120.5
2024-07-31,120.0,123.17500305175781,117.25,121.0,121.0
2024-08-01,120.75,123.5,115.75,121.0,121.0
2024-08-02,117.75,123.25,116.125,119.75,119.75
2024-08-05,112.75,122.25,112.75,117.5,117.5
2024-08-06,115.5,119.0,114.0,118.5,118.5
2024-08-07,115.0,118.75,114.5,118.5,118.5
2024-08-08,116.5,118.17500305175781,114.75,115.5,115.5
2024-08-09,117.5,117.5,112.5,113.5,113.5
2024-08-12,112.75,114.5,102.42500305175781,109.5,109.5
2024-08-13,106.25,110.7750015258789,105.375,105.375,105.375
2024-08-14,105.25,110.75,105.25,107.25,107.25
2024-08-15,103.9749984741211,110.0,103.9749984741211,108.25,108.25
2024-08-16,106.5,107.5,100.75,107.5,107.5
2024-08-19,104.0,107.25,97.8499984741211,104.25,104.25
2024-08-20,102.75,106.25,100.4000015258789,106.0,106.0
2024-08-21,106.25,107.69999694824219,105.69999694824219,105.69999694824219,105.69999694824219
2024-08-22,107.75,107.75,105.5,106.625,106.625
2024-08-23,107.75,107.75,106.0,107.5,107.5
2024-08-26,107.75,107.75,105.75,105.75,105.75
2024-08-27,105.75,107.5,105.75,107.5,107.5
2024-08-28,108.0,108.0,106.25,106.25,106.25
2024-08-29,106.0,106.0,105.75,105.75,105.75
2024-08-30,107.75,108.75,105.07499694824219,108.75,108.75
2024-09-03,108.75,108.75,106.5,106.75,106.75
2024-09-04,106.75,108.4000015258789,104.25,108.4000015258789,108.4000015258789
2024-09-05,105.375,107.0,103.75,107.0,107.0
2024-09-06,103.75,107.25,98.05000305175781,98.19999694824219,98.19999694824219
2024-09-09,108.0,108.5,102.2750015258789,103.0,103.0
2024-09-10,98.75,103.5,98.5,103.5,103.5
2024-09-11,103.5,108.0,102.5,105.5,105.5
2024-09-12,104.5999984741211,107.5,99.75,105.0250015258789,105.0250015258789
2024-09-13,103.75,106.25,100.0999984741211,105.25,105.25
2024-09-16,106.0,106.25,101.75,101.75,101.75
2024-09-17,101.25,104.67500305175781,98.0,101.75,101.75
2024-09-18,100.5,104.25,100.5,104.25,104.25
2024-09-19,104.5,104.5,102.0,102.0,102.0
2024-09-20,102.75,102.75,97.0,97.0,97.0
2024-09-23,97.94999694824219,102.0,97.0,100.0,100.0
2024-09-24,97.0,101.8499984741211,95.0,97.5,97.5
2024-09-25,94.0,99.4749984741211,91.5,91.5,91.5
2024-09-26,98.75,98.75,87.5,90.75,90.75
2024-09-27,87.75,98.0,87.75,95.75,95.75
2024-09-30,96.5,99.25,93.75,95.5,95.5
2024-10-01,93.32499694824219,96.94999694824219,88.9749984741211,96.94999694824219,96.94999694824219
2024-10-02,90.0,98.25,87.75,93.625,93.625
2024-10-03,88.25,99.75,87.94999694824219,90.0,90.0
2024-10-04,94.625,94.625,90.0,93.75,93.75
2024-10-07,90.5,100.0,87.92500305175781,94.7750015258789,94.7750015258789
2024-10-08,93.75,99.5,90.0,94.375,94.375
2024-10-09,88.5,95.25,87.75,88.75,88.75
2024-10-10,89.75,93.75,76.32499694824219,83.125,83.125
2024-10-11,83.75,87.30000305175781,83.75,84.0,84.0
2024-10-14,81.5,88.19999694824219,81.25,85.25,85.25
2024-10-15,83.8499984741211,84.75,81.5,81.5,81.5
2024-10-16,78.875,82.5,78.875,82.5,82.5
2024-10-17,83.57499694824219,83.57499694824219,75.25,80.0,80.0
2024-10-18,82.44999694824219,85.0,79.92500305175781,85.0,85.0
2024-10-21,80.375,86.0,80.375,83.25,83.25
2024-10-22,83.75,84.0,82.19999694824219,83.75,83.75
2024-10-23,82.7750015258789,84.75,80.25,82.4749984741211,82.4749984741211
2024-10-24,83.0,83.0,75.0,80.0,80.0
2024-10-25,77.75,82.0,75.75,82.0,82.0
2024-10-28,80.25,80.25,77.07499694824219,79.375,79.375
2024-10-29,80.0,80.5,77.5,77.5,77.5
2024-10-30,75.5,78.0,73.6500015258789,76.25,76.25
2024-10-31,79.0,83.0,73.80000305175781,81.25,81.25
2024-11-01,80.42500305175781,83.25,80.42500305175781,82.92500305175781,82.92500305175781
2024-11-04,79.67500305175781,85.0,79.125,80.0,80.0
2024-11-05,82.5,83.625,77.75,79.75,79.75
2024-11-06,83.75,83.75,77.75,81.05000305175781,81.05000305175781
2024-11-07,80.0,82.25,80.0,80.5,80.5
2024-11-08,82.25,82.5,80.0,82.5,82.5
2024-11-11,81.5,82.25,80.0,80.0,80.0
2024-11-12,80.0,84.9749984741211,80.0,84.75,84.75
2024-11-13,75.0,82.25,70.0,77.5,77.5
2024-11-14,75.94999694824219,81.75,75.0,79.375,79.375
2024-11-15,78.75,82.5,76.875,78.75,78.75
2024-11-18,78.25,78.75,76.4000015258789,78.5,78.5
