date,open,high,low,close,adjclose
2024-07-01,3115.0,3220.0,3010.0,3045.0,3045.0
2024-07-02,3018.75,3150.0,2975.0,2983.75,2983.75
2024-07-03,3018.75,3088.75,2975.0,3062.5,3062.5
2024-07-05,3062.5,3220.0,3053.75,3141.25,3141.25
2024-07-08,3211.25,3500.0,3158.75,3482.5,3482.5
2024-07-09,3412.5,3657.5,3342.5,3631.25,3631.25
2024-07-10,3605.0,3823.75,3451.875,3543.75,3543.75
2024-07-11,3570.0,3605.0,3438.75,3578.75,3578.75
2024-07-12,3605.0,3698.625,3526.25,3561.25,3561.25
2024-07-15,3561.25,3640.0,3438.75,3543.75,3543.75
2024-07-16,3543.75,3701.25,3500.0,3648.75,3648.75
2024-07-17,3657.5,3745.0,3535.0,3596.25,3596.25
2024-07-18,3500.0,3780.0,3447.5,3526.25,3526.25
2024-07-19,3526.25,3727.5,3465.0,3727.5,3727.5
2024-07-22,3657.5,3876.25,3482.5,3736.25,3736.25
2024-07-23,1277.5,1995.0,1155.0,1540.0,1540.0
2024-07-24,1391.25,1461.25,1225.0,1233.75,1233.75
2024-07-25,1225.0,1225.0,1102.5,1181.25,1181.25
2024-07-26,1163.75,1216.25,1093.75,1120.0,1120.0
2024-07-29,1137.5,1137.5,1016.75,1093.75,1093.75
2024-07-30,1050.0,1124.375,1006.25,1015.0,1015.0
2024-07-31,1076.25,1111.25,971.25,1076.25,1076.25
2024-08-01,1076.25,1111.25,1006.25,1041.25,1041.25
2024-08-02,1041.25,1067.5,988.75,1015.0,1015.0
2024-08-05,980.0,1015.0,927.5,980.0,980.0
2024-08-06,988.75,1032.5,962.5,1015.0,1015.0
2024-08-07,1041.25,1041.25,936.25,936.25,936.25
2024-08-08,945.0,997.5,901.25,971.25,971.25
2024-08-09,988.75,988.75,962.5,971.25,971.25
2024-08-12,1050.0,1128.75,1006.25,1050.0,1050.0
2024-08-13,980.0,1032.5,831.25,936.25,936.25
2024-08-14,927.5,953.75,892.5,936.25,936.25
2024-08-15,936.25,1050.0,918.75,1032.5,1032.5
2024-08-16,1050.0,1112.125,1023.75,1111.25,1111.25
2024-08-19,1137.5,1146.25,1076.25,1085.0,1085.0
2024-08-20,1067.5,1093.75,997.5,1032.5,1032.5
2024-08-21,1067.5,1085.0,1006.25,1015.0,1015.0
2024-08-22,1041.25,1076.25,1032.5,1076.25,1076.25
2024-08-23,1076.25,1076.25,1015.0,1023.75,1023.75
2024-08-26,1032.5,1041.25,1015.0,1023.75,1023.75
2024-08-27,1032.5,1041.25,997.5,1023.75,1023.75
2024-08-28,1006.25,1023.75,962.5,988.75,988.75
2024-08-29,980.0,997.5,971.25,980.0,980.0
2024-08-30,988.75,997.5,980.0,997.5,997.5
2024-09-03,1006.25,1006.25,962.5,980.0,980.0
2024-09-04,971.25,1032.5,971.25,980.0,980.0
2024-09-05,1006.25,1006.25,962.5,980.0,980.0
2024-09-06,980.0,988.75,962.5,971.25,971.25
2024-09-09,1006.25,1010.625,971.25,988.75,988.75
2024-09-10,988.75,988.75,954.625,980.0,980.0
2024-09-11,988.75,995.75,971.25,988.75,988.75
2024-09-12,997.5,997.5,971.25,971.25,971.25
2024-09-13,997.5,997.5,936.25,962.5,962.5
2024-09-16,962.5,980.0,953.75,962.5,962.5
2024-09-17,962.5,1067.5,953.75,1050.0,1050.0
2024-09-18,1058.75,1112.125,962.5,962.5,962.5
2024-09-19,1006.25,1032.5,918.75,971.25,971.25
2024-09-20,971.25,988.75,927.5,936.25,936.25
2024-09-23,936.25,971.25,936.25,945.0,945.0
2024-09-24,971.25,971.25,945.0,953.75,953.75
2024-09-25,971.25,980.0,953.75,962.5,962.5
2024-09-26,980.0,1041.25,962.5,1019.375,1019.375
2024-09-27,1015.0,1089.375,993.125,1050.0,1050.0
2024-09-30,1067.5,1233.75,1058.75,1181.25,1181.25
2024-10-01,1128.75,1159.375,1058.75,1076.25,1076.25
2024-10-02,1050.0,1225.0,1050.0,1163.75,1163.75
2024-10-03,1155.0,1225.0,1137.5,1146.25,1146.25
2024-10-04,1181.25,1181.25,1120.0,1120.0,1120.0
2024-10-07,1128.75,1163.75,1093.75,1128.75,1128.75
2024-10-08,1128.75,1172.5,1111.25,1128.75,1128.75
2024-10-09,1111.25,1137.5,1102.5,1128.75,1128.75
2024-10-10,1137.5,1137.5,1093.75,1102.5,1102.5
2024-10-11,1093.75,1128.75,1085.875,1093.75,1093.75
2024-10-14,1111.25,1120.0,1093.75,1102.5,1102.5
2024-10-15,1102.5,1128.75,1015.0,1015.0,1015.0
2024-10-16,1058.75,1093.75,1041.25,1076.25,1076.25
2024-10-17,1067.5,1102.5,1041.25,1076.25,1076.25
2024-10-18,1076.25,1076.25,1050.0,1067.5,1067.5
2024-10-21,1058.75,1061.375,1023.75,1032.5,1032.5
2024-10-22,1032.5,1032.5,997.5,1023.75,1023.75
2024-10-23,1032.5,1041.25,971.25,997.5,997.5
2024-10-24,1015.0,1015.0,980.0,988.75,988.75
2024-10-25,980.0,1015.0,962.5,971.25,971.25
2024-10-28,980.0,988.75,962.5,988.75,988.75
2024-10-29,997.5,1050.0,936.25,945.0,945.0
2024-10-30,971.25,977.375,918.75,927.5,927.5
2024-10-31,927.5,936.25,901.25,918.75,918.75
2024-11-01,936.25,936.25,918.75,927.5,927.5
2024-11-04,918.75,927.5,883.75,910.0,910.0
2024-11-05,901.25,918.75,892.5,910.0,910.0
2024-11-06,910.0,945.0,892.5,918.75,918.75
2024-11-07,927.5,927.5,851.375,866.25,866.25
2024-11-08,875.0,883.75,805.0,825.125,825.125
2024-11-11,861.0,863.625,787.5,805.0,805.0
2024-11-12,840.0,962.5,840.0,953.75,953.75
2024-11-13,988.75,1050.0,831.25,864.5,864.5
2024-11-14,864.5,971.25,864.5,910.0,910.0
2024-11-15,927.5,927.5,816.375,840.0,840.0
2024-11-18,869.75,875.0,848.75,856.625,856.625
2024-11-19,848.75,892.5,809.375,848.75,848.75
2024-11-20,840.0,883.75,805.0,857.5,857.5
2024-11-21,852.25,874.125,840.0,861.875,861.875
2024-11-22,863.625,918.75,842.625,910.0,910.0
2024-11-25,910.0,936.25,883.75,901.25,901.25
2024-11-26,892.5,910.0,868.875,875.0,875.0
2024-11-27,910.0,918.75,844.375,870.625,870.625
2024-11-29,901.25,914.375,870.625,910.0,910.0
2024-12-02,892.5,910.0,857.5,892.5,892.5
2024-12-03,892.5,892.5,866.25,883.75,883.75
2024-12-04,892.5,892.5,844.375,857.5,857.5
2024-12-05,875.0,902.125,843.5,865.375,865.375
2024-12-06,866.25,875.0,822.5,836.5,836.5
2024-12-09,866.25,892.5,836.5,883.75,883.75
2024-12-10,883.75,883.75,844.375,866.25,866.25
2024-12-11,883.75,1128.75,875.0,1120.0,1120.0
2024-12-12,997.5,1005.375,831.25,853.125,853.125
2024-12-13,883.75,892.5,840.0,847.875,847.875
2024-12-16,847.875,862.75,738.5,801.5,801.5
2024-12-17,798.0,847.0,778.75,822.5,822.5
2024-12-18,831.25,831.25,745.5,752.5,752.5
2024-12-19,761.25,783.125,743.75,763.875,763.875
2024-12-20,785.75,853.125,770.0,810.25,810.25
2024-12-23,848.75,865.375,813.75,854.875,854.875
2024-12-24,875.0,935.375,843.5,901.25,901.25
2024-12-26,883.75,940.625,853.125,927.5,927.5
2024-12-27,918.75,962.5,875.0,901.25,901.25
2024-12-30,892.5,936.25,883.75,892.5,892.5
2024-12-31,892.5,901.25,845.25,883.75,883.75
2025-01-02,918.75,980.0,887.25,953.75,953.75
2025-01-03,971.25,1029.0,955.5,1006.25,1006.25
2025-01-06,1023.75,1163.75,1006.25,1120.0,1120.0
2025-01-07,1111.25,1120.0,1015.0,1032.5,1032.5
2025-01-08,1032.5,1054.375,923.125,953.75,953.75
2025-01-10,936.25,945.0,875.0,875.0,875.0
2025-01-13,875.0,910.0,788.375,810.25,810.25
