date,open,high,low,close,adjclose
2024-07-01,12.0,12.0,11.0,11.0,11.0
2024-07-02,11.0,11.5,10.5,10.5,10.5
2024-07-03,10.5,11.0,10.0,10.5,10.5
2024-07-05,10.5,11.0,9.5,10.0,10.0
2024-07-08,10.0,10.5,10.0,10.0,10.0
2024-07-09,10.0,10.5,9.5,9.5,9.5
2024-07-10,15.0,54.0,13.5,33.5,33.5
2024-07-11,51.5,79.0,45.5,62.0,62.0
2024-07-12,53.5,55.5,43.0,45.0,45.0
2024-07-15,37.5,41.0,27.5,28.0,28.0
2024-07-16,30.0,34.0,27.5,28.5,28.5
2024-07-17,28.0,39.0,27.0,33.0,33.0
2024-07-18,31.0,33.0,29.5,29.5,29.5
2024-07-19,30.5,30.5,25.5,26.5,26.5
2024-07-22,28.5,28.5,23.0,23.0,23.0
2024-07-23,22.5,23.0,19.0,19.0,19.0
2024-07-24,18.5,20.5,17.5,18.0,18.0
2024-07-25,18.5,21.5,17.0,21.0,21.0
2024-07-26,21.0,21.5,19.5,20.0,20.0
2024-07-29,20.0,21.0,19.0,20.0,20.0
2024-07-30,19.0,19.5,17.5,19.0,19.0
2024-07-31,18.5,19.0,18.0,18.5,18.5
2024-08-01,18.0,19.0,17.0,17.5,17.5
2024-08-02,17.5,17.5,15.5,16.0,16.0
2024-08-05,15.0,16.5,15.0,16.0,16.0
2024-08-06,16.5,17.5,16.0,16.0,16.0
2024-08-07,16.0,17.5,16.0,17.5,17.5
2024-08-08,17.0,21.5,17.0,19.5,19.5
2024-08-09,20.5,23.0,20.0,21.5,21.5
2024-08-12,22.0,23.0,20.0,20.5,20.5
2024-08-13,20.5,21.0,19.0,20.0,20.0
2024-08-14,20.0,20.0,17.5,18.0,18.0
2024-08-15,18.5,19.5,18.5,19.5,19.5
2024-08-16,20.5,21.0,19.0,20.0,20.0
2024-08-19,20.0,20.5,18.5,19.0,19.0
2024-08-20,18.5,19.0,18.0,18.5,18.5
2024-08-21,18.5,19.0,17.5,18.5,18.5
2024-08-22,18.5,18.5,17.0,17.5,17.5
2024-08-23,17.5,18.5,17.0,18.0,18.0
2024-08-26,18.0,18.5,17.5,18.0,18.0
2024-08-27,18.5,22.5,17.0,22.0,22.0
2024-08-28,20.5,21.5,19.0,19.5,19.5
2024-08-29,19.5,20.0,18.5,19.5,19.5
2024-08-30,19.5,22.0,19.0,21.0,21.0
2024-09-03,20.5,22.5,18.0,19.0,19.0
2024-09-04,19.0,20.5,19.0,19.0,19.0
2024-09-05,19.5,20.5,18.0,20.5,20.5
2024-09-06,19.5,20.0,18.5,18.5,18.5
2024-09-09,18.5,19.5,18.5,19.0,19.0
2024-09-10,19.0,19.0,18.5,18.5,18.5
2024-09-11,18.5,19.0,17.5,18.5,18.5
2024-09-12,18.5,19.0,16.0,17.5,17.5
2024-09-13,16.5,18.0,16.0,17.0,17.0
2024-09-16,17.5,17.5,16.5,17.0,17.0
2024-09-17,17.0,17.0,16.0,16.0,16.0
2024-09-18,16.5,17.5,15.5,17.0,17.0
2024-09-19,16.5,17.0,16.0,16.5,16.5
2024-09-20,16.5,16.5,16.0,16.0,16.0
2024-09-23,16.0,16.5,15.5,16.5,16.5
2024-09-24,16.5,16.5,16.0,16.5,16.5
2024-09-25,16.5,17.0,15.5,16.5,16.5
2024-09-26,17.5,18.5,17.0,18.0,18.0
2024-09-27,18.5,20.0,18.0,19.5,19.5
2024-09-30,20.0,22.5,19.5,21.5,21.5
2024-10-01,21.5,22.0,20.0,21.5,21.5
2024-10-02,22.5,25.5,21.5,22.0,22.0
2024-10-03,21.5,22.0,19.0,21.5,21.5
2024-10-04,21.5,23.0,21.5,22.0,22.0
2024-10-07,22.0,22.0,20.5,21.0,21.0
2024-10-08,20.5,21.5,20.0,21.5,21.5
2024-10-09,20.5,20.5,19.5,20.0,20.0
2024-10-10,20.0,20.0,19.5,20.0,20.0
2024-10-11,20.0,20.5,19.5,20.5,20.5
2024-10-14,20.5,20.5,20.0,20.0,20.0
2024-10-15,20.0,20.5,16.5,16.5,16.5
2024-10-16,17.0,17.0,16.5,16.5,16.5
2024-10-17,18.5,28.0,18.5,26.5,26.5
2024-10-18,24.5,28.5,23.5,25.0,25.0
2024-10-21,26.0,32.5,25.5,28.0,28.0
2024-10-22,29.0,29.0,26.5,28.5,28.5
2024-10-23,29.0,31.5,28.0,29.0,29.0
2024-10-24,28.5,29.0,26.0,26.5,26.5
2024-10-25,26.5,27.0,25.5,26.0,26.0
2024-10-28,23.399999618530273,26.049999237060547,22.399999618530273,23.299999237060547,23.299999237060547
2024-10-29,23.549999237060547,27.799999237060547,23.5,26.950000762939453,26.950000762939453
2024-10-30,25.799999237060547,28.899999618530273,25.799999237060547,28.399999618530273,28.399999618530273
2024-10-31,27.649999618530273,28.5,26.75,27.0,27.0
2024-11-01,27.0,28.799999237060547,27.0,27.600000381469727,27.600000381469727
2024-11-04,28.25,39.04999923706055,28.25,32.900001525878906,32.900001525878906
2024-11-05,31.899999618530273,36.29999923706055,30.049999237060547,30.649999618530273,30.649999618530273
2024-11-06,31.399999618530273,34.79999923706055,31.0,32.0,32.0
2024-11-07,31.799999237060547,32.5,28.549999237060547,29.299999237060547,29.299999237060547
2024-11-08,29.899999618530273,30.049999237060547,28.149999618530273,28.700000762939453,28.700000762939453
2024-11-11,28.75,34.25,28.75,33.900001525878906,33.900001525878906
2024-11-12,33.45000076293945,34.400001525878906,31.75,31.950000762939453,31.950000762939453
2024-11-13,31.950000762939453,31.950000762939453,27.549999237060547,28.5,28.5
2024-11-14,28.0,28.5,26.049999237060547,26.350000381469727,26.350000381469727
2024-11-15,26.350000381469727,27.049999237060547,21.5,22.850000381469727,22.850000381469727
2024-11-18,22.5,27.450000762939453,22.299999237060547,25.399999618530273,25.399999618530273
2024-11-19,25.25,29.350000381469727,25.0,28.549999237060547,28.549999237060547
2024-11-20,28.350000381469727,30.049999237060547,27.5,28.049999237060547,28.049999237060547
2024-11-21,28.149999618530273,29.350000381469727,26.850000381469727,27.649999618530273,27.649999618530273
2024-11-22,28.200000762939453,29.850000381469727,27.850000381469727,28.799999237060547,28.799999237060547
2024-11-25,28.799999237060547,29.299999237060547,27.0,27.450000762939453,27.450000762939453
2024-11-26,27.399999618530273,28.25,27.0,27.899999618530273,27.899999618530273
2024-11-27,27.700000762939453,29.0,27.0,27.299999237060547,27.299999237060547
2024-11-29,28.100000381469727,28.75,25.799999237060547,25.850000381469727,25.850000381469727
2024-12-02,25.850000381469727,26.299999237060547,23.0,25.0,25.0
2024-12-03,25.0,26.0,23.899999618530273,24.700000762939453,24.700000762939453
2024-12-04,24.700000762939453,25.399999618530273,22.600000381469727,22.649999618530273,22.649999618530273
2024-12-05,22.5,23.600000381469727,21.0,22.399999618530273,22.399999618530273
2024-12-06,22.299999237060547,23.25,20.5,21.899999618530273,21.899999618530273
2024-12-09,21.399999618530273,22.600000381469727,18.350000381469727,18.5,18.5
2024-12-10,19.399999618530273,20.5,17.149999618530273,17.950000762939453,17.950000762939453
2024-12-11,18.200000762939453,18.75,16.049999237060547,18.350000381469727,18.350000381469727
2024-12-12,18.0,19.049999237060547,17.549999237060547,18.350000381469727,18.350000381469727
2024-12-13,18.549999237060547,19.149999618530273,16.75,17.75,17.75
2024-12-16,17.700000762939453,21.0,16.450000762939453,16.649999618530273,16.649999618530273
2024-12-17,18.200000762939453,18.200000762939453,15.0,17.0,17.0
2024-12-18,16.75,16.850000381469727,13.899999618530273,14.25,14.25
