date,open,high,low,close,adjclose
2024-07-01,6937.5,7734.375,6937.5,7476.5625,7476.5625
2024-07-02,7242.1875,7500.0,6585.9375,6984.375,6984.375
2024-07-03,6984.375,7453.125,6609.375,7078.125,7078.125
2024-07-05,7031.25,7054.6875,6726.5625,6820.3125,6820.3125
2024-07-08,6820.3125,7429.6875,6820.3125,7054.6875,7054.6875
2024-07-09,7382.8125,7382.8125,6914.0625,6960.9375,6960.9375
2024-07-10,6843.75,7710.9375,6843.75,7476.5625,7476.5625
2024-07-11,7359.375,7734.375,7031.25,7734.375,7734.375
2024-07-12,7734.375,7734.375,7031.25,7289.0625,7289.0625
2024-07-15,7289.0625,8414.0625,7289.0625,8296.875,8296.875
2024-07-16,8273.4375,10617.1875,8132.8125,10289.0625,10289.0625
2024-07-17,10476.5625,11015.625,8250.0,9117.1875,9117.1875
2024-07-18,10078.125,10078.125,9375.0,10054.6875,10054.6875
2024-07-19,10312.5,10312.5,8437.5,9656.25,9656.25
2024-07-22,9609.375,9609.375,8929.6875,9140.625,9140.625
2024-07-23,8976.5625,9492.1875,8437.5,9492.1875,9492.1875
2024-07-24,9117.1875,9375.0,8671.875,9164.0625,9164.0625
2024-07-25,25312.5,27421.875,12914.0625,14062.5,14062.5
2024-07-26,13593.75,18234.375,12937.5,13617.1875,13617.1875
2024-07-29,14460.9375,15703.125,13359.375,14507.8125,14507.8125
2024-07-30,14531.25,14531.25,13593.75,13828.125,13828.125
2024-07-31,13851.5625,14062.5,12890.625,13828.125,13828.125
2024-08-01,14226.5625,14296.875,12937.5,13359.375,13359.375
2024-08-02,13218.75,13218.75,12140.625,12890.625,12890.625
2024-08-05,11953.125,12656.25,10546.875,12093.75,12093.75
2024-08-06,11953.125,12187.5,11320.3125,11882.8125,11882.8125
2024-08-07,12187.5,12632.8125,11765.625,12468.75,12468.75
2024-08-08,12375.0,13476.5625,11742.1875,12820.3125,12820.3125
2024-08-09,13054.6875,13054.6875,11718.75,12398.4375,12398.4375
2024-08-12,12140.625,12726.5625,11367.1875,11484.375,11484.375
2024-08-13,10781.25,12000.0,9750.0,11343.75,11343.75
2024-08-14,11484.375,11484.375,10546.875,10898.4375,10898.4375
2024-08-15,10617.1875,13335.9375,10546.875,12398.4375,12398.4375
2024-08-16,12421.875,12914.0625,12234.375,12585.9375,12585.9375
2024-08-19,12609.375,13078.125,11742.1875,12703.125,12703.125
2024-08-20,12890.625,12890.625,12187.5,12257.8125,12257.8125
2024-08-21,12656.25,13007.8125,11953.125,12187.5,12187.5
2024-08-22,12210.9375,12632.8125,11976.5625,12187.5,12187.5
2024-08-23,12023.4375,12468.75,11742.1875,11835.9375,11835.9375
2024-08-26,11812.5,12164.0625,10406.25,10570.3125,10570.3125
2024-08-27,10687.5,10687.5,10078.125,10312.5,10312.5
2024-08-28,10289.0625,10546.875,9398.4375,10265.625,10265.625
2024-08-29,10265.625,10429.6875,9421.875,9726.5625,9726.5625
2024-08-30,10078.125,10125.0,9492.1875,9609.375,9609.375
2024-09-03,9867.1875,9867.1875,8203.125,8390.625,8390.625
2024-09-04,7218.75,7218.75,4921.875,5460.9375,5460.9375
2024-09-05,5367.1875,5718.75,4523.4375,5390.625,5390.625
2024-09-06,5390.625,5414.0625,4218.75,4476.5625,4476.5625
2024-09-09,4664.0625,4898.4375,4289.0625,4429.6875,4429.6875
2024-09-10,4453.125,4570.3125,4078.125,4242.1875,4242.1875
2024-09-11,4171.875,4218.75,3796.875,3984.375,3984.375
2024-09-12,3867.1875,3914.0625,3750.0,3820.3125,3820.3125
2024-09-13,3750.0,3984.375,3562.5,3656.25,3656.25
2024-09-16,3187.5,3515.625,2882.8125,2976.5625,2976.5625
2024-09-17,2953.125,2953.125,2742.1875,2929.6875,2929.6875
2024-09-18,3023.4375,3257.8125,2953.125,3257.8125,3257.8125
2024-09-19,3609.375,3609.375,2812.5,3000.0,3000.0
2024-09-20,2976.5625,3140.625,2648.4375,2812.5,2812.5
2024-09-23,2906.25,3234.375,2835.9375,2906.25,2906.25
2024-09-24,2765.625,3140.625,2765.625,3070.3125,3070.3125
2024-09-25,3046.875,3117.1875,2671.875,2812.5,2812.5
2024-09-26,2812.5,2835.9375,2531.25,2554.6875,2554.6875
2024-09-27,2648.4375,2671.875,2484.375,2531.25,2531.25
2024-09-30,2531.25,2578.125,2250.0,2343.75,2343.75
2024-10-01,2367.1875,2367.1875,1992.1875,2039.0625,2039.0625
2024-10-02,2132.8125,2156.25,1992.1875,2109.375,2109.375
2024-10-03,2179.6875,2460.9375,2109.375,2414.0625,2414.0625
2024-10-04,2507.8125,2507.8125,2343.75,2343.75,2343.75
2024-10-07,2343.75,2507.8125,2132.8125,2484.375,2484.375
2024-10-08,2460.9375,2835.9375,2414.0625,2554.6875,2554.6875
2024-10-09,2531.25,2554.6875,2132.8125,2179.6875,2179.6875
