date,open,high,low,close,adjclose
2024-07-01,11.25,11.5,10.75,10.75,10.75
2024-07-02,10.75,10.75,9.0,9.25,9.25
2024-07-03,10.25,10.5,9.25,10.0,10.0
2024-07-05,10.0,10.0,9.25,9.5,9.5
2024-07-08,9.75,9.75,9.25,9.25,9.25
2024-07-09,9.0,9.75,8.25,9.0,9.0
2024-07-10,8.75,9.25,8.5,9.0,9.0
2024-07-11,8.75,10.0,8.5,8.75,8.75
2024-07-12,9.0,10.0,9.0,10.0,10.0
2024-07-15,10.0,11.0,10.0,10.75,10.75
2024-07-16,11.0,11.5,10.25,10.5,10.5
2024-07-17,10.75,11.5,10.75,11.25,11.25
2024-07-18,11.25,11.5,11.0,11.25,11.25
2024-07-19,11.25,11.5,10.75,10.75,10.75
2024-07-22,11.0,11.5,10.25,11.25,11.25
2024-07-23,11.25,11.25,10.75,11.25,11.25
2024-07-24,11.25,11.25,10.5,10.5,10.5
2024-07-25,10.75,11.0,10.0,10.25,10.25
2024-07-26,10.5,11.0,10.0,10.75,10.75
2024-07-29,11.0,11.0,10.25,10.75,10.75
2024-07-30,10.5,11.0,10.25,10.25,10.25
2024-07-31,10.5,10.5,9.75,10.0,10.0
2024-08-01,9.75,10.25,9.25,9.5,9.5
2024-08-02,9.25,9.75,9.0,9.0,9.0
2024-08-05,9.0,9.25,8.5,8.75,8.75
2024-08-06,8.75,9.25,8.5,8.75,8.75
2024-08-07,9.0,9.25,8.75,9.0,9.0
2024-08-08,9.5,9.5,8.5,8.75,8.75
2024-08-09,9.25,9.25,8.5,8.75,8.75
2024-08-12,8.75,9.25,8.75,9.25,9.25
2024-08-13,8.75,9.5,8.5,9.25,9.25
2024-08-14,9.0,9.25,8.5,8.5,8.5
2024-08-15,8.75,9.5,8.5,9.0,9.0
2024-08-16,9.25,9.75,9.0,9.5,9.5
2024-08-19,9.25,10.0,9.25,9.75,9.75
2024-08-20,9.75,9.75,9.0,9.0,9.0
2024-08-21,9.0,9.5,8.75,9.25,9.25
2024-08-22,9.25,10.0,8.75,9.0,9.0
2024-08-23,8.75,9.5,8.75,9.25,9.25
2024-08-26,9.5,9.5,9.0,9.25,9.25
2024-08-27,9.0,9.75,9.0,9.5,9.5
2024-08-28,9.5,10.0,8.75,8.75,8.75
2024-08-29,9.5,9.5,8.75,9.25,9.25
2024-08-30,9.5,9.5,9.0,9.25,9.25
2024-09-03,9.75,9.75,8.75,9.25,9.25
2024-09-04,9.25,9.75,9.0,9.25,9.25
2024-09-05,9.0,9.25,8.75,8.75,8.75
2024-09-06,8.75,9.25,8.75,9.0,9.0
2024-09-09,9.25,9.25,8.5,8.5,8.5
2024-09-10,8.5,9.0,8.5,8.5,8.5
2024-09-11,8.25,8.75,8.25,8.25,8.25
2024-09-12,8.75,8.75,8.25,8.5,8.5
2024-09-13,8.5,8.75,8.5,8.75,8.75
2024-09-16,8.75,9.0,8.0,8.5,8.5
2024-09-17,8.5,8.75,8.5,8.5,8.5
2024-09-18,8.75,9.25,6.0,7.75,7.75
2024-09-19,8.0,8.0,7.5,7.75,7.75
2024-09-20,7.5,8.25,6.75,7.0,7.0
2024-09-23,6.989999771118164,7.71999979019165,6.429999828338623,7.5,7.5
2024-09-24,7.0,7.5,6.960000038146973,7.440000057220459,7.440000057220459
2024-09-25,7.21999979019165,7.5,6.860000133514404,7.03000020980835,7.03000020980835
2024-09-26,7.050000190734863,7.050000190734863,6.0,6.099999904632568,6.099999904632568
2024-09-27,5.880000114440918,6.599999904632568,5.639999866485596,5.739999771118164,5.739999771118164
2024-09-30,6.019999980926514,6.389999866485596,5.690000057220459,5.880000114440918,5.880000114440918
2024-10-01,5.800000190734863,5.800000190734863,5.320000171661377,5.579999923706055,5.579999923706055
2024-10-02,5.599999904632568,5.699999809265137,5.130000114440918,5.699999809265137,5.699999809265137
2024-10-03,5.650000095367432,5.71999979019165,5.349999904632568,5.550000190734863,5.550000190734863
2024-10-04,5.46999979019165,5.840000152587891,5.46999979019165,5.53000020980835,5.53000020980835
2024-10-07,5.980000019073486,5.980000019073486,4.619999885559082,5.239999771118164,5.239999771118164
2024-10-08,5.039999961853027,5.119999885559082,4.78000020980835,4.800000190734863,4.800000190734863
2024-10-09,4.800000190734863,4.800000190734863,4.440000057220459,4.690000057220459,4.690000057220459
2024-10-10,4.670000076293945,4.889999866485596,4.670000076293945,4.889999866485596,4.889999866485596
2024-10-11,4.889999866485596,5.300000190734863,4.889999866485596,5.21999979019165,5.21999979019165
2024-10-14,5.190000057220459,5.400000095367432,5.0,5.010000228881836,5.010000228881836
2024-10-15,5.0,5.260000228881836,4.769999980926514,4.800000190734863,4.800000190734863
2024-10-16,4.960000038146973,4.960000038146973,4.570000171661377,4.739999771118164,4.739999771118164
2024-10-17,4.699999809265137,4.949999809265137,4.699999809265137,4.699999809265137,4.699999809265137
2024-10-18,4.679999828338623,4.929999828338623,4.679999828338623,4.869999885559082,4.869999885559082
