This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for  10 prior-return portfolios.
The portfolios are constructed monthly. PRIOR_RET is from - 1 to - 1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Aerage Value Weighted Returns -- Monthly
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192602,  -7.81,  -5.01,  -3.97,  -3.74,  -4.75,  -1.32,  -1.86,  -1.40,  -2.70,  -5.38
192603, -17.26,  -9.53, -14.03,  -5.27,  -8.54,  -4.23,  -5.05,  -4.93,  -3.37,  -9.65
192604,   1.98,   1.70,   2.12,   5.05,   4.06,   4.28,   4.37,   3.23,   4.00,   3.64
192605,  -3.28,   0.85,  -1.51,   1.06,   1.96,   2.65,   1.48,   0.34,   1.82,   1.21
192606,   7.31,   8.33,  11.62,   5.75,   8.05,   4.64,   4.04,   4.10,   3.63,   2.93
192607,   6.47,   0.93,   2.31,   1.09,   3.24,   2.19,   1.86,   3.14,   1.52,   9.80
192608,   1.33,   3.05,   4.38,   2.52,   4.44,   2.74,   3.54,   1.64,   0.82,   4.17
192609,  -4.50,   1.58,  -0.64,   0.78,   0.19,   0.69,   0.44,  -1.68,   5.46,  -2.38
192610, -11.04,  -4.40,  -2.49,  -3.00,  -1.86,  -2.32,  -3.30,  -1.66,  -2.39,  -5.70
192611,  -1.25,   6.42,   3.47,   3.89,   4.74,   2.98,   2.15,   1.93,   1.67,   1.51
192612,   5.76,   2.99,   5.29,   3.58,   3.27,   2.98,   0.66,   4.23,   0.19,  -0.02
192701,  -1.31,  -0.45,  -1.37,   0.68,   0.46,   1.12,   0.19,   0.52,  -0.21,   0.08
192702,   3.00,   5.66,   5.57,   4.52,   4.44,   2.70,   3.14,   8.08,   4.41,   9.05
192703,  -7.54,  -4.83,  -0.33,   0.54,   1.39,   1.64,  -0.17,   2.73,   4.52,  -4.12
192704,  -3.73,  -3.72,  -2.64,  -1.90,   0.23,   2.53,   1.05,   2.31,   1.20,   4.21
192705,   7.05,   4.85,   4.76,   4.41,   6.68,   4.56,   6.48,   6.80,   6.87,   6.08
192706,  -3.77,  -1.51,  -2.33,  -2.70,  -2.34,  -1.66,  -3.36,  -1.00,  -1.95,  -3.29
192707,   6.48,   5.83,   5.59,   6.30,   9.55,   5.06,  10.81,   7.50,   8.90,   5.33
192708,  -3.64,   0.83,   0.97,   1.30,   1.48,   2.03,   2.23,  -0.60,   4.77,   5.57
192709,   9.67,   3.64,   1.92,   2.14,   3.94,   5.75,   5.00,   6.11,   5.66,   8.20
192710,  -2.14,  -5.72,  -6.73,  -4.26,  -2.23,  -2.40,  -4.23,  -2.87,  -5.61,  -6.79
192711,   9.35,  10.89,   8.22,   7.57,   5.78,   5.10,   5.86,   5.57,   5.14,   7.66
192712,   1.15,   0.89,   1.70,   2.24,   1.78,   2.93,   1.92,   3.90,   4.01,  -0.19
