This file was created using the 202605 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
193101,   0.83
193102,   1.67
193103,   4.33
193104,  -1.18
193105,  -2.30
193106,   3.95
193107,   3.70
193108,  -3.68
193109,  -7.15
193110,   4.75
193111,   1.00
193112,  -6.53
193201,   6.36
193202,   2.26
193203,   0.79
193204,   1.34
193205,   9.88
193206,  -3.38
193207,  19.62
193208,  22.89
193209,  -8.48
193210,  -8.04
193211,  -7.80
193212,  -8.00
193301,   2.76
193302,  -3.41
193303,   6.89
193304,  37.16
193305,  32.81
193306,   9.50
193307,   1.55
193308,   3.72
193309, -11.97
193310,  -5.90
193311,   2.20
193312,   0.80
193401,  26.25
193402,   1.81
193403,  -1.82
193404,  -3.21
193405,  -7.28
193406,  -3.79
193407, -13.04
193408,   4.78
193409,  -0.13
193410,  -4.11
193411,   1.91
193412,  -2.71
193501,  -1.56
193502,  -8.66
193503,  -0.87
193504,   5.33
193505,   1.15
193506,   0.79
193507,   8.90
193508,  10.00
193509,  -0.48
193510,   6.25
193511,   7.52
193512,   1.00
193601,  12.34
193602,   1.75
193603,  -1.53
193604,  -7.21
193605,   3.33
193606,  -2.45
193607,   4.15
193608,   2.29
193609,  -1.02
193610,   1.57
193611,  -2.54
193612,   2.24
193701,   0.99
193702,  -0.54
193703,  -1.82
193704,  -0.12
193705,  -2.88
193706,   1.03
193707,  -1.41
193708,  -2.13
193709,  -3.20
193710,   2.45
193711,   3.09
193712,   1.12
193801,  -0.17
193802,  -3.72
193803,   8.35
193804,  -4.16
193805,   4.18
193806, -12.85
193807,  -3.06
193808,  -3.49
193809,  -0.58
193810,   5.14
193811,  -2.96
193812,  -1.24
193901,  -1.62
193902,   2.48
193903,  -7.16
193904,   1.14
193905,  -0.16
193906,  -5.07
193907,   1.10
193908,  -0.45
193909,  14.46
193910,  -4.29
193911,  -3.54
193912,  -1.93
194001,   3.52
194002,  -1.06
194003,  -1.07
194004,   1.29
194005,  -3.02
194006,   1.53
194007,  -1.12
194008,  -1.17
194009,  -1.78
194010,   0.30
194011,  -5.32
194012,  -2.72
194101,   2.99
194102,  -1.62
194103,   0.58
194104,  -0.70
194105,  -0.65
194106,  -0.31
194107,   8.89
194108,  -1.73
194109,  -3.62
194110,  -3.18
194111,  -1.76
194112,  -5.89
194201,  14.79
194202,   1.28
194203,  -0.12
194204,  -0.08
194205,  -3.50
194206,   0.12
194207,   3.52
194208,   0.05
194209,   3.14
194210,   8.89
194211,  -3.21
194212,   1.63
194301,  12.42
194302,   9.60
194303,   5.02
194304,   4.24
194305,   5.57
194306,  -1.29
194307,  -2.05
194308,  -0.59
194309,   2.90
194310,  -1.69
194311,  -4.18
194312,   3.28
194401,   2.44
194402,  -0.38
194403,   1.44
194404,  -0.52
194405,  -0.22
194406,   0.48
194407,   1.19
194408,   0.56
194409,   0.06
194410,  -0.77
194411,  -2.34
194412,  -0.34
194501,   0.60
194502,  -0.17
194503,   0.12
194504,  -1.83
194505,  -0.87
194506,   0.97
194507,   1.73
194508,  -0.50
194509,  -1.86
194510,  -3.63
194511,  -4.18
194512,  -1.44
194601,   1.26
194602,   2.05
194603,  -2.92
194604,  -0.58
194605,  -2.09
194606,   1.57
194607,   1.86
194608,   2.29
194609,   5.75
194610,   1.21
194611,   3.53
194612,   0.40
194701,  -0.36
194702,   0.64
194703,   2.97
194704,   5.16
194705,   3.16
194706,  -2.24
194707,  -3.69
194708,   2.37
194709,  -0.54
194710,  -1.05
194711,   1.85
194712,  -0.13
194801,   1.19
194802,   2.58
194803,  -1.54
194804,   0.29
194805,  -0.88
194806,   1.60
194807,   1.57
194808,  -0.91
194809,   1.24
194810,   0.37
194811,   0.82
194812,   0.67
194901,   0.78
194902,   1.03
194903,  -0.52
194904,   0.09
194905,   1.29
194906,  -0.76
194907,  -0.38
194908,  -1.48
194909,  -0.57
194910,  -0.23
194911,  -1.83
194912,   3.42
195001,   2.24
195002,  -0.01
195003,  -0.65
195004,   2.89
195005,  -2.85
195006,  -3.14
195007,   7.59
195008,  -3.21
195009,   0.34
195010,  -0.45
195011,   0.78
195012,   7.38
195101,   2.72
195102,  -3.14
195103,  -2.89
195104,  -0.29
195105,  -1.67
195106,  -4.57
195107,   1.08
195108,  -0.51
195109,   1.24
195110,  -0.62
195111,  -0.33
195112,  -2.13
195201,  -1.01
195202,   0.89
195203,  -2.35
195204,   1.82
195205,  -1.90
195206,  -1.83
195207,  -0.59
195208,   0.43
195209,   0.89
195210,   0.54
195211,  -0.77
195212,  -0.73
195301,   1.51
195302,   0.98
195303,   1.01
195304,   1.85
195305,  -1.24
195306,  -0.94
195307,  -0.60
195308,   0.76
195309,  -0.39
195310,  -3.46
195311,  -0.69
195312,  -1.24
195401,  -0.41
195402,  -0.94
195403,  -2.19
195404,  -3.08
195405,  -1.16
195406,  -1.13
195407,   0.71
195408,   0.14
195409,  -3.35
195410,  -0.98
195411,  -1.66
195412,  -0.04
195501,  -1.06
195502,  -1.80
195503,   0.06
195504,  -0.04
195505,  -0.05
195506,  -3.26
195507,  -0.34
195508,   0.15
195509,   0.06
195510,  -0.19
195511,  -3.14
195512,  -0.48
195601,   1.31
195602,  -1.78
195603,  -2.85
195604,  -1.15
195605,   0.10
195606,  -1.51
195607,  -1.91
195608,   0.61
195609,   1.04
195610,  -0.39
195611,   2.40
195612,  -1.27
195701,   4.96
195702,   1.11
195703,  -0.62
195704,  -1.83
195705,  -2.10
195706,  -1.49
195707,  -0.48
195708,   2.13
195709,   2.44
195710,  -0.09
195711,  -0.85
195712,   1.75
195801,   2.64
195802,   0.73
195803,  -0.48
195804,   1.11
195805,   0.22
195806,  -0.69
195807,  -2.08
195808,   0.62
195809,  -0.61
195810,  -1.17
195811,  -0.31
195812,  -0.33
195901,   1.91
195902,   0.34
195903,  -0.39
195904,  -0.44
195905,   0.92
195906,  -0.12
195907,  -0.40
195908,  -1.11
195909,  -0.24
195910,  -0.11
195911,  -0.31
195912,  -0.53
196001,   0.94
196002,  -0.83
196003,  -1.53
196004,  -1.18
196005,  -3.38
196006,   0.06
196007,   0.21
196008,   0.94
196009,   1.24
196010,   1.29
196011,  -2.52
196012,  -0.57
196101,   3.59
196102,  -2.80
196103,  -3.09
196104,   0.86
196105,   0.75
196106,  -1.68
196107,  -0.27
196108,  -1.66
196109,  -2.74
196110,  -0.41
196111,  -2.51
196112,   3.32
196201,   6.77
196202,   1.11
196203,  -1.12
196204,   0.53
196205,   3.34
196206,   1.71
196207,  -1.87
196208,  -1.09
196209,   1.76
196210,   0.82
196211,   0.82
196212,  -0.47
196301,   1.63
196302,   0.70
196303,   1.29
196304,   1.02
196305,   2.41
196306,  -0.22
196307,  -1.05
196308,   1.53
196309,  -0.13
196310,  -0.28
196311,   0.01
196312,   0.01
196401,   0.07
196402,   1.36
196403,   3.88
196404,  -2.49
196405,  -0.12
196406,  -0.48
196407,   0.04
196408,  -0.81
196409,   3.73
196410,  -0.72
196411,  -1.63
196412,  -1.63
196501,   2.36
196502,   2.86
196503,   0.61
196504,   0.18
196505,  -0.04
196506,  -1.84
196507,   1.52
196508,   1.61
196509,   1.99
196510,   0.90
196511,   0.98
196512,  -0.30
196601,   1.51
196602,   1.38
196603,   0.55
196604,   1.63
196605,  -0.94
196606,   1.42
196607,  -0.43
196608,   2.20
196609,  -1.57
196610,   0.08
196611,  -0.14
196612,   0.34
196701,   0.53
196702,   2.21
196703,  -0.72
196704,  -3.69
196705,  -0.30
196706,  -0.46
196707,  -1.58
196708,   0.28
196709,  -0.92
196710,   0.26
196711,  -2.13
196712,   1.77
196801,   6.15
196802,   2.52
196803,  -2.40
196804,  -4.70
196805,  -1.86
196806,   2.75
196807,   6.25
196808,   0.81
196809,  -0.06
196810,   2.67
196811,  -2.19
196812,  -0.89
196901,   2.55
196902,   2.45
196903,   0.02
196904,   0.10
196905,   1.49
196906,   1.51
196907,   3.04
196908,  -4.57
196909,  -1.03
196910,  -1.67
196911,  -0.51
196912,   0.18
197001,   4.15
197002,   2.38
197003,   5.19
197004,   6.85
197005,   4.09
197006,   3.21
197007,   1.63
197008,  -0.54
197009,  -7.55
197010,   0.93
197011,   2.03
197012,   1.08
197101,   1.28
197102,  -0.36
197103,  -1.91
197104,   1.54
197105,  -0.66
197106,  -1.00
197107,  -2.90
197108,   1.88
197109,  -1.70
197110,  -0.02
197111,  -0.88
197112,   0.78
197201,   2.93
197202,  -1.42
197203,  -1.55
197204,  -0.35
197205,  -1.20
197206,  -1.14
197207,  -0.24
197208,   3.06
197209,  -1.25
197210,   0.19
197211,   1.39
197212,  -2.33
197301,  -0.08
197302,  -0.22
197303,   0.88
197304,   2.48
197305,  -2.53
197306,  -0.36
197307,   0.51
197308,   0.30
197309,   5.70
197310,   2.22
197311,  -2.26
197312,   2.56
197401,   7.64
197402,   4.36
197403,  -0.28
197404,   1.22
197405,  -2.89
197406,  -1.93
197407,   3.19
197408,   2.05
197409,   0.94
197410,  -5.24
197411,   0.06
197412,  -4.02
197501,  14.60
197502,   0.17
197503,   4.96
197504,  -1.92
197505,   2.05
197506,   2.47
197507,   0.90
197508,  -2.37
197509,  -1.44
197510,   0.80
197511,   2.04
197512,  -0.33
197601,   9.22
197602,   5.01
197603,   0.26
197604,  -1.77
197605,  -3.42
197606,   1.92
197607,   0.32
197608,   0.39
197609,  -0.38
197610,  -1.62
197611,   1.32
197612,   2.81
197701,   0.87
197702,  -1.48
197703,  -0.72
197704,   0.25
197705,   0.25
197706,   3.23
197707,   1.40
197708,   3.50
197709,   0.43
197710,  -1.29
197711,   3.21
197712,  -1.69
197801,   1.46
197802,  -0.70
197803,   0.81
197804,   1.79
197805,  -0.02
197806,   0.03
197807,   0.67
197808,  -0.67
197809,  -0.64
197810,  -0.27
197811,  -0.90
197812,   0.21
197901,  -0.60
197902,   0.88
197903,  -0.29
197904,  -0.43
197905,   0.70
197906,  -2.57
197907,  -1.97
197908,  -1.68
197909,   0.17
197910,   1.48
197911,  -2.15
197912,  -0.43
198001,  -0.52
198002,  -0.04
198003,   2.65
198004,  -0.02
198005,   0.87
198006,  -2.71
198007,  -1.63
198008,  -1.49
198009,  -1.77
198010,  -2.56
198011,  -7.79
198012,   3.44
198101,   7.57
198102,   2.57
198103,   1.40
198104,   2.76
198105,   1.61
198106,   1.09
198107,  -3.56
198108,   1.26
198109,   5.20
198110,  -4.85
198111,   0.65
198112,   1.30
198201,   6.33
198202,   5.96
198203,   3.92
198204,  -1.73
198205,   1.53
198206,   1.92
198207,   2.20
198208,  -0.91
198209,  -0.69
198210,  -0.57
198211,   1.08
198212,   0.96
198301,   0.10
198302,  -0.40
198303,   1.03
198304,   3.05
198305,  -2.03
198306,  -0.85
198307,   1.46
198308,   0.10
198309,   0.76
198310,   1.08
198311,  -1.29
198312,   1.32
198401,   4.11
198402,   0.26
198403,   0.89
198404,  -1.68
198405,  -0.22
198406,  -3.60
198407,  -1.53
198408,  -1.78
198409,   1.74
198410,  -1.54
198411,   0.90
198412,  -3.00
198501,  -1.75
198502,  -0.14
198503,  -1.06
198504,  -0.06
198505,  -3.84
198506,  -2.30
198507,   1.50
198508,   0.04
198509,  -0.77
198510,  -2.47
198511,  -2.24
198512,  -3.02
198601,  -2.73
198602,  -3.50
198603,  -2.58
198604,  -1.21
198605,  -1.46
198606,  -6.36
198607,  -3.85
198608,   4.65
198609,   3.87
198610,   0.79
198611,   0.12
198612,   0.50
198701,   3.23
198702,  -0.06
198703,   3.90
198704,   3.70
198705,   2.09
198706,  -1.55
198707,   2.22
198708,  -2.87
198709,   2.93
198710,  -5.69
198711,  -0.30
198712,   2.64
198801,  -1.61
198802,   1.30
198803,   1.21
198804,   0.40
198805,  -0.06
198806,   1.73
198807,  -1.47
198808,  -1.91
198809,  -1.99
198810,  -0.22
198811,  -0.80
198812,   0.74
198901,   2.89
198902,   0.89
198903,   0.50
198904,  -1.10
198905,  -1.79
198906,  -0.78
198907,  -1.81
