This file was created using the 202605 CRSP database.  It
contains a reversal factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured as the most recent month's return.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,ST_Rev
192602,  -1.84
192603,  -5.77
192604,  -1.03
192605,  -1.30
192606,   4.00
192607,  -1.77
192608,   1.43
192609,  -0.07
192610,  -2.04
192611,   0.99
192612,   1.94
192701,  -2.00
192702,  -1.24
192703,  -3.46
192704,  -3.55
192705,  -1.03
192706,  -0.67
192707,  -0.97
192708,  -1.14
192709,  -1.04
192710,  -2.84
192711,   4.71
192712,  -0.40
192801,   0.69
192802,   0.10
192803,  -4.66
192804,  -0.47
192805,   3.30
192806,   1.17
192807,  -1.65
192808,   0.19
192809,  -0.50
192810,  -2.33
192811,  -1.68
192812,  -1.22
192901,  -6.67
192902,   0.08
192903,  -2.78
192904,   0.76
192905,  -2.42
192906,   1.47
192907,  -1.36
192908,  -1.74
192909,   1.52
192910,  -2.08
192911,  -8.20
192912,   1.49
193001,   5.31
193002,   0.24
193003,   1.89
193004,  -0.19
193005,   3.37
193006,  -6.80
193007,   6.14
193008,   2.24
193009,  -3.59
193010,  -4.36
193011,   1.91
193012,  -2.37
193101,  16.66
193102,  -2.33
193103,   5.05
193104,  -5.74
193105,  -3.63
193106,  17.73
193107,   8.16
193108,   1.20
193109,   4.92
193110,  18.72
193111,   1.26
193112,  -5.51
193201,  16.47
193202,   9.37
193203,  -0.78
193204,  -3.01
193205,  -1.20
193206,  15.83
193207,  -2.00
193208, -19.69
193209,   9.47
193210,  -1.35
193211,  -1.09
193212,  -1.22
193301,   7.54
193302,   2.91
193303,   9.98
193304, -12.58
193305,  -0.13
193306,  -0.17
193307,   8.33
193308,   8.50
193309,  -0.22
193310,  -1.29
193311,   6.16
193312,  -0.76
193401,   9.43
193402,   2.36
193403,   1.34
193404,   0.22
193405,  -5.88
193406,  -0.78
193407,  -4.89
193408,  13.35
193409,   2.23
193410,  -0.16
193411,   2.02
193412,  -2.50
193501,   2.11
193502,  -3.66
193503,  -1.91
193504,   2.76
193505,   3.70
193506,   2.58
193507,  -0.84
193508,  -3.61
193509,  -0.63
193510,   1.75
193511,   5.50
193512,  -3.02
193601,  -1.47
193602,   1.93
193603,   1.64
193604,  -0.69
193605,   2.97
193606,   1.24
193607,   2.74
193608,  -0.41
193609,   1.35
193610,   0.20
193611,  -2.34
193612,  -3.44
193701,  -2.32
193702,   2.25
193703,  -2.97
193704,   1.51
193705,   0.02
193706,  -2.14
193707,   6.69
193708,   4.11
193709,  -6.30
193710,  -3.66
193711,  -1.61
193712,  -3.16
193801,   6.47
193802,   4.48
193803,   8.25
193804,  14.18
193805,   6.99
193806,  23.80
193807,  -4.18
193808,  -1.15
193809,   1.04
193810,   3.47
193811,   1.53
193812,   2.45
193901,   4.25
193902,   3.86
193903,   4.94
193904,   3.38
193905,   3.47
193906,   3.56
193907,  13.91
193908,   7.04
193909,  20.02
193910,  12.96
193911,  -8.99
193912,  -0.64
194001,   3.02
194002,   2.74
194003,   1.83
194004,   2.06
194005,  -0.48
194006,   5.71
194007,   2.49
194008,   1.22
194009,  -0.56
194010,   0.29
194011,   1.00
194012,   2.26
194101,   4.09
194102,   0.55
194103,   1.83
194104,  -1.95
194105,   1.01
194106,   1.12
194107,   0.96
194108,   0.84
194109,  -0.41
194110,  -2.00
194111,  -2.04
194112,  -1.91
194201,   9.57
194202,   0.89
194203,  -1.90
194204,   0.65
194205,  -0.36
194206,   0.72
194207,   2.33
194208,   0.20
194209,   1.15
194210,  -1.40
194211,   6.48
194212,   1.99
194301,   5.79
194302,  -5.63
194303,  -2.08
194304,   0.89
194305,  -0.58
194306,   2.08
194307,   0.37
194308,   2.32
194309,   0.52
194310,   3.06
194311,  -0.37
194312,   8.60
194401,   1.15
194402,   0.25
194403,  -0.22
194404,   1.93
194405,   2.52
194406,  -1.33
194407,   3.07
194408,   2.31
194409,   1.23
194410,   0.53
194411,   0.68
194412,  -1.70
194501,   3.32
194502,   0.89
194503,   3.65
194504,   4.08
194505,   2.15
194506,  -0.05
194507,   3.44
194508,   1.93
194509,   0.12
194510,  -1.22
194511,  -1.87
194512,   2.32
194601,   1.88
194602,   2.88
194603,  -1.16
194604,  -4.50
194605,   2.19
194606,   1.53
194607,  -0.59
194608,  -1.11
194609,  -2.95
194610,   1.09
194611,  -0.02
194612,   0.00
194701,   4.66
194702,   0.83
194703,   0.32
194704,  -2.83
194705,  -2.05
194706,   0.41
194707,   2.20
194708,   1.65
194709,  -0.41
194710,   2.25
194711,   0.05
194712,  -0.62
194801,   3.99
194802,   0.72
194803,   6.05
194804,  -0.33
194805,   1.06
194806,   1.09
194807,   1.46
194808,   0.58
194809,   0.37
194810,   2.52
194811,   3.96
194812,   0.10
194901,   4.33
194902,  -1.11
194903,   2.63
194904,   0.55
194905,  -1.72
194906,  -0.27
194907,   2.63
194908,   1.14
194909,   0.46
194910,   0.53
194911,   0.37
194912,   0.64
195001,   0.74
195002,   1.12
195003,   0.92
195004,   2.05
195005,  -1.11
195006,   1.04
195007,   0.61
195008,   5.28
195009,   0.35
195010,   2.72
195011,   1.07
195012,  -5.69
195101,   3.02
195102,   2.54
195103,  -0.34
195104,   1.76
195105,   1.86
195106,  -1.98
195107,   3.99
195108,   0.17
195109,   1.18
195110,   2.40
195111,   1.07
195112,   1.42
195201,   1.79
195202,   1.07
195203,   0.69
195204,   0.39
195205,   1.65
195206,   0.74
195207,   1.10
195208,   0.36
195209,  -1.20
195210,   0.77
195211,   1.86
195212,   2.08
195301,   2.13
195302,  -0.58
195303,   0.63
195304,   0.67
195305,   0.33
195306,  -0.09
195307,   0.85
195308,   0.34
195309,  -0.78
195310,   0.22
195311,  -0.18
195312,  -1.38
195401,   5.00
195402,   1.23
195403,   0.10
195404,  -1.42
195405,   2.57
195406,   1.92
195407,   1.26
195408,   2.08
195409,  -0.34
195410,   0.33
195411,  -0.51
195412,  -0.26
195501,   1.73
195502,   1.61
195503,   1.21
195504,   1.33
195505,   0.07
195506,  -0.81
195507,  -1.43
195508,   2.56
195509,   2.51
195510,  -0.06
195511,   3.58
195512,  -0.07
195601,   0.92
195602,   2.93
195603,  -2.38
195604,  -1.50
195605,   2.01
195606,   0.99
195607,  -1.20
195608,   2.08
195609,  -1.36
195610,   0.53
195611,  -1.44
195612,   0.03
195701,   3.60
195702,  -0.09
195703,   1.13
195704,  -0.58
195705,   0.08
195706,  -0.84
195707,   0.52
195708,   0.35
195709,  -4.00
195710,  -3.45
195711,  -0.11
195712,  -1.20
195801,   5.52
195802,   1.79
195803,   1.00
195804,  -0.42
195805,   1.37
195806,   1.97
195807,   2.83
195808,   1.71
195809,   2.52
195810,   1.34
195811,   0.71
195812,   1.74
195901,   1.11
195902,   0.60
195903,   0.41
195904,   0.76
195905,  -0.78
195906,   0.88
195907,  -0.11
195908,  -0.49
195909,  -0.09
195910,   1.09
195911,  -1.57
195912,   1.46
196001,   3.68
196002,  -0.52
196003,  -0.82
196004,  -2.30
196005,  -3.54
196006,   1.16
196007,   1.11
196008,  -1.65
196009,  -0.01
196010,  -2.19
196011,   1.15
196012,   0.80
196101,   1.30
196102,   1.33
196103,   1.47
196104,   1.95
196105,   3.57
196106,   1.36
196107,   1.36
196108,   1.00
196109,  -1.62
196110,  -1.41
196111,  -0.44
196112,   1.17
196201,   0.92
196202,   0.86
196203,   0.83
196204,  -0.84
196205,  -0.22
196206,  -2.91
196207,   3.52
196208,  -0.14
196209,   2.40
196210,  -2.04
196211,   5.29
196212,   5.05
196301,   4.60
196302,   1.39
196303,   1.51
196304,  -0.97
196305,   0.09
196306,   1.80
196307,  -0.07
196308,   1.41
196309,   1.19
196310,  -1.57
196311,   1.15
196312,   0.27
196401,  -0.37
196402,   0.22
196403,   0.30
196404,   3.52
196405,  -1.28
196406,   0.51
196407,   1.83
196408,  -1.14
196409,   1.26
196410,   1.02
196411,  -0.65
196412,   0.86
196501,   3.06
196502,  -0.53
196503,   1.42
196504,   0.40
196505,   0.20
196506,   0.22
196507,   2.64
196508,  -1.44
196509,  -1.35
196510,  -1.23
196511,  -2.42
196512,   2.66
196601,   0.45
196602,  -2.72
196603,  -0.37
196604,  -0.86
196605,   3.39
196606,   2.51
196607,   1.31
196608,   0.24
196609,   1.01
196610,  -1.44
196611,   8.97
196612,   0.22
196701,   3.53
196702,   1.25
196703,   1.86
196704,   0.55
196705,   1.80
196706,  -1.09
196707,   0.02
196708,   0.64
196709,  -0.57
196710,  -2.44
196711,   0.22
196712,  -0.02
196801,   3.72
196802,  -0.78
196803,   1.48
196804,  -0.73
196805,  -2.02
196806,   3.64
196807,  -1.37
196808,   0.63
196809,  -0.18
196810,   1.34
196811,   3.31
196812,   2.36
196901,   2.41
196902,   2.31
196903,   0.17
196904,  -1.05
196905,   1.37
196906,   0.19
196907,  -1.64
196908,   3.19
196909,   0.53
196910,  -0.34
196911,   0.98
196912,  -2.83
197001,  -0.28
197002,   2.86
197003,   0.66
197004,  -4.55
197005,  -3.24
197006,  -0.08
197007,   4.00
197008,   1.43
197009,   0.55
197010,   6.76
197011,  -0.48
197012,   2.49
197101,   1.94
197102,   1.66
197103,   0.09
197104,   0.78
197105,   0.50
197106,  -0.96
197107,   1.34
197108,   5.64
197109,   0.31
197110,  -1.24
197111,  -0.80
197112,   3.70
197201,  -0.60
197202,  -0.15
197203,   1.45
197204,   0.13
197205,  -0.89
197206,  -1.73
197207,  -2.35
197208,   0.76
197209,   1.48
197210,  -0.92
197211,   3.28
197212,   3.86
197301,  -1.43
197302,  -2.18
197303,   0.42
197304,  -0.66
197305,  -1.10
197306,   0.04
197307,   9.52
197308,   1.66
197309,   1.66
197310,   1.91
197311,  -4.74
197312,   0.54
197401,   9.28
197402,   0.78
197403,   4.17
197404,  -1.33
197405,  -2.62
197406,  -0.96
197407,   0.87
197408,   2.00
197409,   3.21
197410,   8.77
197411,  -0.33
197412,  -0.56
197501,  14.65
197502,   4.52
197503,   3.51
197504,  -0.46
197505,   3.81
197506,   3.25
197507,   1.25
197508,   0.62
197509,  -0.38
197510,   1.55
197511,  -2.53
197512,   3.49
197601,   2.92
197602,  -2.43
197603,   4.44
197604,   2.12
197605,  -0.88
197606,   0.64
197607,   1.69
197608,  -2.00
197609,  -0.28
197610,   1.15
197611,   0.58
197612,   3.62
197701,   0.55
197702,   1.34
197703,   1.08
197704,  -1.13
197705,  -0.34
197706,   0.14
197707,   1.02
197708,  -0.72
197709,   0.73
197710,   1.58
197711,   2.19
197712,  -0.11
197801,   1.03
197802,   1.15
197803,  -0.29
197804,   0.15
197805,   0.03
197806,   1.30
197807,   0.87
197808,   0.79
197809,   3.74
197810,  -1.88
197811,   9.01
197812,  -0.43
197901,   5.63
197902,   1.25
197903,   1.52
197904,  -0.42
197905,   1.09
197906,   1.26
197907,   0.64
197908,   0.83
197909,  -1.64
197910,  -1.95
197911,   1.39
197912,  -1.96
198001,  -3.42
198002,  -4.94
198003,   8.50
198004,   1.39
198005,   2.88
198006,   2.23
198007,   2.94
198008,  -0.82
198009,  -1.47
198010,  -2.06
198011,  -9.74
198012,   6.43
198101,  -2.27
198102,  -2.38
198103,   1.64
198104,  -1.45
198105,  -3.81
198106,   4.76
198107,  -0.57
198108,  -0.61
198109,  -1.26
198110,   4.47
198111,   2.77
198112,   1.64
198201,  -1.38
198202,  -4.34
198203,  -1.85
198204,   1.63
198205,   2.09
198206,   0.16
198207,  -2.88
198208,   1.30
198209,   4.35
198210,   3.06
198211,  -4.51
198212,   3.84
198301,   3.18
198302,   2.65
198303,   0.34
198304,  -0.57
198305,   2.73
198306,   0.22
198307,   1.98
198308,  -0.67
198309,   2.38
198310,  -1.65
198311,   4.93
198312,   2.00
198401,   0.70
198402,  -2.12
198403,   2.49
198404,   1.59
198405,   0.87
198406,   1.10
198407,  -1.46
198408,   7.27
198409,   4.28
198410,  -1.16
198411,  -0.60
198412,   0.77
198501,   2.17
198502,   2.46
198503,  -1.33
198504,  -2.41
198505,  -0.63
198506,  -0.81
198507,   3.61
198508,   1.81
198509,  -1.83
198510,   0.71
198511,   2.44
198512,  -0.36
198601,   0.77
198602,  -1.70
198603,  -0.15
198604,   2.78
198605,   1.03
198606,  -2.47
198607,  -2.94
198608,   1.21
198609,  -0.29
198610,   3.61
198611,   0.70
198612,   0.43
198701,   0.48
198702,  -1.16
198703,   1.86
198704,  -1.90
198705,  -0.24
198706,   0.11
198707,  -0.23
198708,   2.55
198709,  -0.43
198710,  -0.29
198711,  -0.76
198712,   5.77
198801,   7.84
198802,   4.38
198803,  -0.96
198804,   0.31
198805,   0.63
198806,   1.89
198807,   3.38
198808,  -1.95
198809,  -0.14
198810,  -0.96
198811,  -0.67
198812,   2.31
198901,   1.13
198902,   1.07
198903,  -0.89
198904,  -0.62
198905,  -2.71
198906,   2.31
198907,   1.47
198908,   2.11
198909,   1.05
198910,  -4.45
198911,  -1.72
198912,  -2.48
199001,   1.02
199002,   0.47
199003,   0.20
199004,  -1.82
199005,  -0.33
199006,  -0.09
199007,  -0.69
199008,  -3.68
199009,  -6.06
199010,  -2.78
199011,   5.80
199012,  -2.92
199101,  -1.90
199102,   2.00
199103,   0.52
199104,   1.69
199105,   0.10
199106,   2.10
199107,   2.20
199108,  -2.87
199109,  -0.72
199110,  -1.13
199111,  -0.42
199112,   0.83
199201,   5.22
199202,  -2.92
199203,  -1.05
199204,  -3.41
199205,  -0.16
199206,   0.95
199207,   2.07
199208,  -1.53
199209,  -1.05
199210,  -0.12
199211,  -1.00
199212,   1.22
199301,  -0.47
199302,  -1.44
199303,  -0.96
199304,  -1.70
199305,   1.45
199306,   2.22
199307,  -2.68
199308,   1.29
199309,   0.73
199310,   1.89
199311,  -1.36
199312,   1.10
199401,   1.67
199402,   0.42
199403,   0.06
199404,  -0.39
199405,   0.05
199406,   0.09
199407,   1.42
199408,   1.41
199409,  -0.72
199410,  -0.20
199411,  -2.03
199412,   0.80
199501,   4.04
199502,   2.34
199503,  -0.01
199504,  -0.53
199505,  -0.45
199506,   1.12
199507,  -2.10
199508,   1.28
199509,  -0.87
199510,  -1.02
199511,   0.54
199512,  -0.98
199601,   1.07
199602,   2.23
199603,  -0.12
199604,   0.67
199605,  -1.01
199606,  -0.22
199607,  -2.43
199608,   2.51
199609,   0.51
199610,  -1.11
199611,   0.17
199612,   0.64
199701,   2.71
199702,   1.24
199703,   0.87
199704,   2.39
199705,   2.93
199706,   0.66
199707,   3.89
199708,  -0.06
199709,   1.73
199710,  -0.90
199711,  -1.95
199712,  -2.91
199801,   5.02
199802,   1.94
199803,   1.81
199804,   1.72
199805,   0.68
199806,  -1.40
199807,  -2.12
199808,  -2.79
199809,   2.96
199810,   9.16
199811,   1.38
199812,  -1.65
199901,  -2.29
199902,   2.47
199903,   0.16
199904,   2.41
199905,   1.12
199906,   1.34
199907,   1.55
199908,  -3.44
199909,  -0.45
199910,  -1.42
199911,   0.61
199912, -14.14
200001,   2.62
200002, -13.33
200003,  10.11
200004,  -2.30
200005,  -8.77
200006,  12.34
200007,   6.44
200008,   0.37
200009,   2.31
200010,  -4.83
200011, -14.63
200012,  -7.02
200101,  16.59
200102,  12.47
200103,  -7.56
200104,   9.84
200105,   3.85
200106,   0.56
200107,   1.13
200108,  -3.74
200109,  -5.01
200110,  14.97
200111,  -3.13
200112,   1.61
200201,   1.92
200202,   0.04
200203,   2.90
200204,   2.13
200205,  -2.59
200206,  -3.67
200207,   1.31
200208,   1.42
200209,  -1.76
200210,   7.45
200211,   0.10
200212,  10.79
200301,   0.30
200302,  -0.70
200303,   0.02
200304,   3.06
200305,  -1.47
200306,  -0.11
200307,   2.56
200308,  -1.54
200309,   4.59
200310,   2.20
200311,  -1.48
200312,   1.87
200401,   2.30
200402,   1.52
200403,  -2.17
200404,  -0.19
200405,   2.26
200406,   0.31
200407,  -1.35
200408,  -2.31
200409,   3.09
200410,   0.25
200411,   1.50
200412,   0.97
200501,   1.44
200502,  -2.46
200503,   0.08
200504,  -1.86
200505,   3.17
200506,   0.07
200507,  -0.12
200508,  -1.38
200509,  -3.71
200510,   1.45
200511,   0.05
200512,   2.15
200601,  -1.01
200602,   3.33
200603,  -0.07
200604,  -0.26
200605,  -0.05
200606,  -0.62
200607,   0.20
200608,   1.64
200609,   0.78
200610,  -0.26
200611,  -0.95
200612,   2.43
200701,   1.12
200702,   0.21
200703,  -2.07
200704,  -0.32
200705,  -0.96
200706,  -0.67
200707,  -3.65
200708,  -2.57
200709,   0.34
200710,  -3.96
200711,  -1.71
200712,  -2.07
200801,   6.87
200802,   4.91
200803,  -0.40
200804,   3.14
200805,  -2.14
200806,  -7.13
200807,   7.94
200808,  -0.39
200809,  -3.96
200810,  -9.53
200811, -10.12
200812,   5.29
200901,   0.25
200902,  -6.84
200903,   3.10
200904,  -6.30
200905,  -2.72
200906,   4.75
200907,   4.41
200908,  -2.10
200909,   1.11
200910,   2.26
200911,   0.48
200912,   1.53
201001,   3.67
201002,   1.69
201003,   0.78
201004,  -1.84
201005,   0.49
201006,  -4.82
201007,   4.06
201008,   1.04
201009,   3.32
201010,  -1.25
201011,  -0.85
201012,   2.09
201101,  -0.08
201102,  -0.71
201103,  -0.82
201104,  -1.04
201105,  -1.24
201106,  -0.96
201107,  -1.12
201108,  -1.39
201109,  -9.52
201110,  12.18
201111,   1.25
201112,  -1.52
201201,   6.59
201202,  -0.37
201203,  -0.77
201204,  -0.48
201205,  -3.50
201206,  -0.75
201207,   1.40
201208,   3.04
201209,  -0.19
201210,   0.28
201211,   0.89
201212,   0.18
201301,  -1.55
201302,  -1.17
201303,  -1.90
201304,  -1.10
201305,   1.61
201306,   0.48
201307,   1.92
201308,  -0.81
201309,  -0.47
201310,  -0.13
201311,   0.66
201312,   1.33
201401,   0.31
201402,  -0.15
201403,   2.56
201404,  -2.08
201405,   0.55
201406,  -0.57
201407,   2.63
201408,   1.64
201409,  -0.30
201410,  -2.72
201411,  -3.31
201412,  -1.00
201501,  -0.47
201502,   3.73
201503,  -0.15
201504,   4.26
201505,   2.33
201506,  -3.57
201507,  -4.97
201508,   1.55
201509,  -3.18
201510,   0.97
201511,   0.19
201512,   1.17
201601,  -2.94
201602,  -0.90
201603,   1.55
201604,   0.42
201605,   0.17
201606,   1.46
201607,   4.52
201608,  -0.34
201609,   0.02
201610,   2.54
201611,   0.23
201612,  -1.21
201701,   3.34
201702,  -0.96
201703,  -0.92
201704,  -2.10
201705,  -3.27
201706,   4.12
201707,   2.01
201708,  -0.36
201709,   2.86
201710,  -0.62
201711,   0.42
201712,  -0.76
201801,   0.67
201802,  -1.09
201803,   0.29
201804,  -0.72
201805,  -0.14
201806,   0.64
201807,   1.60
201808,   1.71
201809,   0.10
201810,   1.22
201811,   1.17
201812,  -1.62
201901,   8.18
201902,  -0.20
201903,   0.08
201904,   0.86
201905,   0.71
201906,   4.15
201907,  -0.15
201908,  -2.37
201909,   5.14
201910,  -0.40
201911,  -0.18
201912,   0.61
202001,   2.56
202002,  -2.42
202003, -11.58
202004,  15.76
202005,  -3.30
202006,  -2.01
202007,  -3.17
202008,  -2.42
202009,   0.49
202010,   0.61
202011,   3.13
202012,  -3.14
202101,   0.83
202102,   4.48
202103,  -0.84
202104,   1.43
202105,   1.39
202106,   2.91
202107,  -0.64
202108,  -1.54
