This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on AC/B.

The portfolios are constructed at the end of June. Ac/B (accruals) is the change in 
operating working capital per split-adjusted share from t-2 to t-1
divided by book equity per split-adjusted share in t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.46,   -0.03,    0.12,   -0.10,   -2.08,    0.37,    0.59,   -0.46,    0.12,   -0.40,    0.55,    0.84,   -1.75,   -2.49,   -1.79
196308,    7.30,    4.74,    4.80,    6.41,    6.31,    6.55,    8.38,    4.21,    4.93,    4.75,    4.85,    5.96,    7.23,    6.02,    6.50
196309,   -0.69,   -0.01,   -2.38,   -2.05,   -0.01,   -0.69,   -0.68,   -0.14,    0.04,   -1.82,   -2.84,   -1.80,   -2.51,   -2.05,    1.37
196310,   10.42,    2.65,    2.62,    3.08,    0.61,   14.11,    5.27,    4.00,    2.16,    1.16,    3.83,    3.21,    2.83,    0.52,    0.68
196311,   -4.03,    1.33,   -0.99,   -0.21,   -0.60,   -5.96,   -1.11,   -0.18,    1.90,   -1.94,   -0.22,   -0.60,    0.50,    0.27,   -1.17
196312,    1.03,    2.37,    4.23,    2.24,   -0.52,   -0.23,    2.82,    3.78,    1.86,    3.10,    5.13,    3.23,    0.46,   -1.46,    0.10
196401,    1.33,    3.87,    3.25,    2.40,    0.76,    2.15,    0.21,    4.30,    3.71,    2.43,    3.89,    2.80,    1.66,   -1.01,    1.92
196402,    1.95,    2.04,    1.04,    2.49,    2.57,    0.78,    3.58,    4.15,    1.25,    1.96,    0.33,    1.56,    4.21,    3.94,    1.70
196403,    2.71,    1.76,    2.50,    1.52,    1.64,    1.83,    3.91,    3.75,    1.00,    2.40,    2.58,    0.96,    2.54,    5.09,   -0.59
196404,    1.58,    0.30,    1.09,   -1.60,    0.02,    2.91,   -0.21,   -0.99,    0.81,    2.21,    0.22,   -0.44,   -3.68,   -1.06,    0.76
196405,    2.97,    1.67,    0.90,    0.69,    2.08,    2.54,    3.57,    3.40,    0.99,    0.81,    0.96,    0.89,    0.32,   -0.61,    3.89
196406,    1.70,    1.81,    0.99,    1.67,    2.39,    1.74,    1.65,   -0.02,    2.55,    2.73,   -0.37,    1.43,    2.13,    2.52,    2.30
196407,    2.74,    0.39,    0.83,    4.56,    1.23,    3.04,    2.52,   -0.80,    2.47,    1.97,   -0.84,    5.15,    2.68,    1.79,    0.51
196408,    0.00,   -1.29,   -2.51,    0.02,   -0.79,    1.77,   -1.30,   -1.57,   -0.82,   -2.05,   -3.21,    0.34,   -1.03,   -1.52,    0.17
