This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BETA.

The portfolios are constructed at the end of June. Beta is estimated using monthly returns for the past 60 months
 (requiring at least 24 months with non-missing returns). Beta is estimated using the Scholes-Williams method.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    1.12,    0.21,   -1.30,   -0.93,   -0.49,    1.34,    0.76,   -0.24,    0.63,   -1.37,   -1.22,   -0.42,   -1.40,   -1.94,    1.05
196308,    3.68,    4.91,    5.92,    6.34,   10.09,    3.55,    3.89,    4.70,    5.11,    4.78,    7.30,    7.93,    4.88,    9.24,   10.97
196309,   -2.77,   -0.81,   -0.68,   -0.96,   -2.64,   -3.13,   -2.17,    0.05,   -1.59,   -1.11,   -0.16,   -0.89,   -1.02,   -1.86,   -3.42
196310,    0.73,    3.62,    2.25,    5.75,    4.28,    1.24,   -0.14,    2.83,    4.35,    2.66,    1.76,    6.85,    4.71,    3.14,    5.44
196311,   -0.62,   -0.79,    0.07,   -0.83,    0.31,   -0.85,   -0.23,    1.80,   -3.16,    0.84,   -0.84,   -1.14,   -0.53,   -0.08,    0.70
196312,    2.62,    2.05,    2.72,    2.23,    1.54,    3.80,    0.63,    1.90,    2.19,    2.95,    2.45,    0.97,    3.44,    0.34,    2.73
196401,    2.87,    2.65,    2.66,    3.49,    0.97,    3.68,    1.48,    2.60,    2.70,    2.36,    3.01,    2.62,    4.30,    2.14,   -0.17
196402,    1.31,    1.05,    2.39,    2.87,    3.08,    1.11,    1.67,    0.40,    1.68,    3.20,    1.42,    1.93,    3.74,    2.76,    3.40
196403,    0.95,    0.65,    2.00,    3.04,    6.07,    1.04,    0.79,    0.23,    1.05,    1.88,    2.15,    2.03,    3.95,    5.83,    6.31
196404,    2.36,    1.78,   -0.60,   -2.46,   -2.43,    2.64,    1.86,    0.87,    2.63,   -1.07,   -0.02,   -2.24,   -2.65,   -1.90,   -2.95
196405,    1.66,    1.36,    1.60,    2.09,    2.75,    1.64,    1.70,    0.04,    2.59,    2.40,    0.62,    0.93,    3.12,    1.05,    4.42
196406,    1.76,    2.41,    0.74,    1.09,    1.80,    1.52,    2.18,    4.20,    0.80,    0.29,    1.29,    2.36,   -0.01,    2.27,    1.36
196407,    1.61,    3.47,    2.15,    0.51,    1.18,    3.75,    0.97,    4.51,    2.25,    3.43,    0.92,    1.68,   -0.30,    1.24,    1.10
196408,   -0.89,   -0.52,   -1.38,   -2.16,   -2.00,    1.29,   -1.55,    0.05,   -1.21,   -1.89,   -0.87,   -1.46,   -2.65,   -1.82,   -2.24
196409,    1.61,    3.29,    3.59,    3.01,    5.45,    2.60,    1.30,    3.33,    3.24,    3.58,    3.59,    3.13,    2.93,    5.84,    4.92
196410,    0.78,    1.59,    1.19,   -1.05,    0.53,    1.02,    0.71,    1.00,    2.30,    1.40,    0.98,    0.90,   -2.42,   -0.06,    1.32
196411,    0.56,    0.20,    1.44,   -0.96,   -2.50,    1.40,    0.30,   -0.37,    0.89,    1.83,    1.05,   -0.35,   -1.40,   -3.07,   -1.74
196412,    1.39,    0.13,    0.07,   -0.32,   -0.73,   -0.35,    1.95,    0.49,   -0.30,    0.20,   -0.05,   -0.89,    0.11,   -1.02,   -0.34
196501,    1.40,    3.76,    4.63,    6.36,    6.38,    3.51,    0.74,    4.10,    3.36,    5.50,    3.76,    4.77,    7.51,    6.12,    6.72
196502,   -0.33,   -0.70,    1.09,    2.87,    4.04,    1.13,   -0.80,   -0.06,   -1.47,   -0.30,    2.50,    2.73,    2.96,    4.08,    3.98
