This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on INV.

The portfolios are constructed at the end of June.  INV, investment, is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1
divided by t-2 total assets.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,   -1.22,    0.53,    0.18,   -1.14,   -0.33,    0.66,    0.17,    0.64,   -2.07,   -0.15,   -1.40,    0.36,    1.29,    0.32,    0.45,   -0.44,    0.54,    0.95
196308,    6.05,    4.82,    6.02,    6.23,    5.23,    5.18,    4.63,    6.74,    5.38,    7.13,    5.65,    4.97,    5.67,    4.91,    4.43,    5.08,    6.29,    8.00
196309,   -1.18,   -1.43,   -0.57,   -1.16,   -0.98,   -2.80,   -0.19,   -1.09,   -0.67,   -1.66,   -1.23,   -0.82,   -2.82,   -2.79,   -0.33,    0.12,   -0.88,   -1.68
196310,    2.06,    1.83,    6.75,    2.48,    0.91,    0.52,    4.01,    7.94,    2.79,    2.15,    1.13,    0.77,    0.82,    0.35,    3.46,    5.19,    9.04,    4.87
196311,    0.10,    0.14,   -2.63,    0.54,   -1.12,   -1.03,    0.90,   -3.95,    2.01,   -1.00,   -0.89,   -1.27,   -1.57,   -0.74,    1.73,   -0.84,   -5.08,   -0.68
196312,    2.13,    2.55,    1.60,    2.05,    3.27,    2.42,    2.23,    1.07,    2.51,    1.56,    2.31,    3.89,    1.15,    3.11,    2.20,    2.30,    0.89,    1.56
196401,    2.91,    2.74,    2.59,    3.52,    1.50,    2.21,    4.32,    0.15,    3.49,    3.56,    1.50,    1.50,    2.57,    2.02,    3.66,    5.73,    1.23,   -2.78
196402,    2.53,    1.47,    1.77,    2.53,    1.98,    1.91,    1.23,    1.84,    3.06,    1.95,    2.52,    1.64,    2.25,    1.73,    1.02,    1.67,    1.96,    1.51
196403,    4.26,    0.97,    1.63,    3.91,    3.33,    1.27,    0.96,    1.00,    2.34,    5.64,    5.08,    2.21,    2.53,    0.59,    0.26,    2.40,    0.62,    2.07
196404,   -1.72,    1.15,    0.85,   -2.21,    0.46,    1.05,    0.21,    3.12,   -2.41,   -2.00,   -0.61,    1.16,    1.35,    0.88,    1.24,   -1.89,    3.98,    0.73
196405,    1.02,    0.98,    3.05,    1.39,    1.27,    1.15,    1.33,    2.97,    1.75,    1.01,    0.17,    1.98,    2.51,    0.40,    0.46,    3.16,    3.07,    2.66
196406,    0.48,    2.32,    1.04,    0.15,    1.96,    1.50,    2.37,    1.07,   -0.27,    0.60,    1.24,    2.41,    0.62,    2.00,    3.03,    1.01,    1.13,    0.88
196407,    3.11,    2.22,    0.51,    2.68,    2.90,    2.18,    1.19,    1.03,    3.31,    1.35,    3.82,    2.06,    2.50,    2.05,    2.48,   -0.06,    2.08,    0.04
196408,   -0.49,   -1.09,   -1.72,   -0.84,   -0.19,   -1.04,   -2.29,   -0.69,   -0.72,   -1.11,    0.08,   -0.45,   -2.00,   -0.65,   -1.72,   -2.85,   -1.98,    0.56
196409,    3.69,    2.54,    3.57,    3.49,    3.66,    2.21,    2.79,    4.80,    4.00,    2.37,    4.02,    3.32,    2.73,    2.00,    3.38,    2.20,    3.48,    6.04
196410,    0.63,    1.11,    0.13,    0.96,    0.88,    0.90,    0.39,    1.02,    0.13,    2.78,    0.10,    1.61,    1.45,    0.68,    1.64,   -0.88,    2.90,   -0.69
196411,    0.95,    0.30,    0.35,    1.31,   -0.35,    0.14,    1.05,    0.48,    1.67,    0.56,    0.36,   -1.01,    1.19,   -0.29,    1.88,    0.18,    1.21,   -0.20
196412,   -0.63,    0.90,    0.42,   -0.08,   -1.42,    1.73,   -0.46,    0.81,    0.15,   -0.57,   -1.54,   -1.31,    0.29,    2.32,   -0.85,   -0.03,   -0.15,    1.72
196501,    4.92,    2.70,    5.49,    4.93,    4.55,    1.85,    5.33,    5.41,    5.01,    4.76,    4.91,    4.21,    2.01,    1.79,    5.09,    5.59,    6.99,    3.92
196502,    1.10,    0.07,    2.03,    0.84,    1.67,   -0.32,    0.61,    3.08,   -0.12,    2.95,    1.52,    1.81,   -1.00,   -0.05,    0.45,    0.78,    2.90,    3.26
196503,   -0.85,   -1.35,   -0.92,   -1.03,   -0.80,   -1.48,   -0.23,   -2.20,   -1.62,    0.21,   -0.55,   -1.05,   -2.10,   -1.24,   -1.04,    0.62,   -2.49,   -1.91
196504,    2.48,    3.18,    5.29,    2.62,    2.23,    3.55,    3.47,    5.91,    2.44,    3.00,    2.24,    2.23,    0.93,    4.58,    2.39,    4.57,    4.35,    7.40
196505,    0.39,   -0.38,   -0.22,    0.80,   -0.33,   -0.47,   -0.06,   -0.33,    1.52,   -0.69,   -0.27,   -0.39,   -0.55,   -0.44,   -0.03,   -0.08,   -0.41,   -0.26
196506,   -6.14,   -4.07,   -6.20,   -6.34,   -5.06,   -3.87,   -5.16,   -6.67,   -5.91,   -7.25,   -5.81,   -4.35,   -3.01,   -4.19,   -4.68,   -5.64,   -6.39,   -6.93
196507,    1.69,    1.39,    1.92,    1.69,    1.30,    2.29,    0.71,    3.00,    1.35,    2.05,    1.69,    1.02,    1.90,    2.57,    0.82,    0.55,    1.63,    4.30
196508,    2.54,    2.50,    4.18,    3.04,    1.81,    3.02,    2.91,    5.08,    2.58,    3.52,    2.10,    1.61,    2.98,    3.04,    2.84,    3.01,    4.91,    5.24
196509,    4.08,    3.06,    3.10,    4.38,    3.99,    3.17,    2.21,    3.42,    3.85,    4.92,    3.81,    4.12,    2.88,    3.38,    1.87,    2.68,    4.06,    2.83
196510,    2.77,    2.50,    3.47,    3.58,    3.35,    2.32,    1.66,    4.00,    4.00,    3.15,    2.05,    4.28,    2.23,    2.38,    0.87,    2.76,    3.41,    4.56
196511,   -0.26,   -0.86,    2.44,    1.23,   -1.52,    0.78,   -0.76,    3.48,    1.13,    1.32,   -1.60,   -1.46,    2.12,   -0.19,   -2.06,    1.04,    5.21,    1.87
196512,    1.39,    1.14,    0.95,    1.01,    1.27,    0.96,    1.24,    1.07,    1.31,    0.71,    1.75,    0.93,    0.27,    1.48,    1.58,    0.79,    2.82,   -0.60
196601,    0.54,    0.48,    1.55,    3.00,   -0.74,    1.18,    0.25,    2.49,    1.54,    4.49,   -1.70,   -0.05,    1.41,    1.00,    0.24,    0.26,    2.40,    2.58
196602,   -2.52,   -1.50,    0.94,   -1.45,   -2.84,   -1.57,   -0.96,    2.67,   -1.78,   -1.11,   -3.55,   -2.35,   -1.88,   -1.34,   -0.54,   -1.52,    1.54,    3.77
196603,   -1.34,   -2.92,   -1.07,   -2.47,   -2.21,   -2.78,   -2.09,   -0.67,   -3.89,   -1.07,   -0.25,   -3.58,   -3.21,   -2.47,   -2.39,   -1.67,   -1.29,   -0.08
196604,    2.09,    1.68,    3.84,    2.13,    0.80,    1.96,    2.67,    5.07,    0.70,    3.49,    2.05,   -0.09,    2.42,    1.62,    3.17,    1.99,    4.60,    5.51
196605,   -5.83,   -5.09,   -4.53,   -6.36,   -5.55,   -5.19,   -4.29,   -4.76,   -5.79,   -6.90,   -5.32,   -5.72,   -5.37,   -5.06,   -4.36,   -4.19,   -5.18,   -4.37
196606,   -0.14,   -1.57,   -0.99,   -0.69,   -1.06,   -2.16,   -0.75,   -0.81,   -0.87,   -0.52,    0.38,   -2.13,   -1.71,   -2.48,   -0.37,   -1.27,   -0.04,   -1.53
196607,   -0.29,   -0.73,   -3.14,   -0.56,   -0.38,   -0.77,   -1.63,   -3.14,   -1.91,    0.11,   -0.04,   -0.62,   -1.03,   -0.46,   -0.77,   -3.15,   -2.71,   -3.38
196608,   -7.14,   -7.25,   -8.06,   -7.53,   -6.57,   -7.54,   -6.86,  -10.01,   -9.43,   -6.61,   -6.78,   -6.42,   -7.76,   -7.27,   -7.56,   -5.59,   -7.86,  -11.21
196609,    0.25,    0.42,   -3.62,    0.18,    0.87,    0.62,   -1.95,   -2.82,   -0.88,    0.68,    0.32,    1.27,   -0.23,    1.61,   -0.46,   -4.59,   -3.21,   -2.59
196610,    6.26,    5.23,    1.03,    4.48,    8.16,    5.22,    1.86,    1.81,    0.87,    6.14,    7.91,    8.34,    6.74,    3.45,    2.83,    0.07,    0.54,    2.55
196611,   -1.25,    0.86,    6.47,    0.22,   -1.39,    0.42,    2.92,    8.65,    2.10,   -0.60,   -2.58,   -0.54,   -0.79,    1.86,    2.51,    3.72,    5.16,   10.62
196612,    0.95,    0.68,   -0.82,    2.03,    0.67,    0.38,    0.10,   -0.74,    2.83,    1.67,   -0.06,    1.18,   -0.22,    1.07,    0.64,   -0.92,    2.70,   -2.58
196701,    7.04,    7.55,   10.70,    8.99,    5.64,    7.24,    9.79,   10.52,   11.72,    7.76,    5.19,    5.94,    7.91,    6.47,    9.19,   10.94,   10.84,   10.33
196702,   -0.61,    1.16,    1.83,    0.21,   -0.52,   -0.08,    2.39,    2.82,    3.51,   -1.35,   -1.41,    0.08,   -0.63,    0.54,    3.38,    0.54,    2.34,    3.08
196703,    4.16,    3.68,    6.22,    3.38,    3.68,    3.97,    5.11,    5.46,    3.91,    3.11,    4.95,    2.83,    2.95,    5.13,    4.00,    7.25,    5.00,    5.72
196704,    1.47,    4.19,    7.10,    2.40,    1.48,    2.97,    7.39,    6.38,    1.77,    2.71,    0.57,    2.10,    3.98,    1.84,    7.02,    8.06,    4.44,    7.46
196705,   -2.18,   -4.83,   -4.71,   -2.53,   -3.98,   -3.84,   -5.28,   -4.48,   -0.33,   -3.61,   -1.83,   -5.43,   -3.58,   -4.14,   -5.42,   -5.00,   -2.90,   -5.34
196706,    1.91,    1.78,    3.85,    2.72,    2.02,    1.37,    2.06,    4.56,    4.26,    1.94,    1.10,    2.67,    1.36,    1.38,    1.58,    2.93,    4.57,    4.55
196707,    6.94,    3.98,    4.37,    8.29,    1.46,    7.63,    4.06,    4.54,    8.34,    8.27,    5.29,   -1.95,    5.79,    9.09,    4.09,    4.01,    4.31,    4.86
196708,   -0.55,   -0.56,   -1.08,   -0.16,   -0.93,   -0.70,   -0.27,   -1.34,    0.18,   -0.27,   -1.04,   -0.83,   -1.83,    0.15,   -0.11,   -0.50,   -1.12,   -1.64
196709,    3.24,    3.03,    4.19,    3.19,    2.67,    2.47,    4.34,    4.39,    2.29,    3.46,    3.31,    2.05,    1.80,    2.97,    4.75,    3.74,    5.33,    3.08
