This file was created using the 202605 CRSP database.  It contains
value- and equal-weighted returns for size portfolios.  Each record contains returns for:

Negative (not used)  30%  40%  30%     5 Quintiles    10 Deciles

The portfolios are constructed at the end of Jun.  The annual returns are from January
to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
192607,  -99.99,    0.06,    1.53,    3.40,    0.29,    0.47,    1.68,    1.41,    3.64,   -0.62,    0.57,   -0.13,    0.85,    1.39,    1.89,    1.59,    1.31,    3.53,    3.67
192608,  -99.99,    3.14,    2.74,    2.90,    2.30,    3.50,    3.71,    1.50,    3.06,    1.65,    2.51,    3.83,    3.29,    2.76,    4.41,    1.55,    1.47,    0.58,    3.79
192609,  -99.99,   -1.52,   -0.87,    0.83,   -1.27,   -1.14,    0.08,   -0.12,    0.82,    0.57,   -1.83,   -1.73,   -0.77,   -0.01,    0.15,   -1.93,    0.92,   -0.72,    1.26
192610,  -99.99,   -3.08,   -3.29,   -2.85,   -2.56,   -4.09,   -2.67,   -3.50,   -2.79,   -4.29,   -2.01,   -3.52,   -4.45,   -3.02,   -2.41,   -3.61,   -3.44,   -3.61,   -2.56
192611,  -99.99,   -0.26,    3.76,    2.83,   -0.96,    3.12,    3.50,    3.27,    2.80,   -3.18,   -0.26,    0.31,    4.91,    3.56,    3.46,    3.67,    3.05,    4.13,    2.45
192612,  -99.99,    3.90,    1.64,    3.02,    2.45,    3.22,    1.36,    2.81,    2.97,   -2.58,    3.99,    5.07,    2.10,    1.32,    1.39,    1.80,    3.38,    3.11,    2.94
192701,  -99.99,    1.34,    1.58,   -0.03,    1.69,    2.40,    1.08,    1.08,   -0.12,    1.67,    1.70,    1.05,    3.23,   -0.61,    2.31,    1.61,    0.80,    0.43,   -0.27
192702,  -99.99,    6.45,    6.90,    4.21,    7.56,    5.77,    6.95,    5.12,    4.23,    5.68,    8.11,    5.53,    5.91,    5.63,    7.88,    7.18,    3.98,    4.91,    4.05
192703,  -99.99,   -2.25,   -1.64,    0.94,   -3.63,   -1.18,   -3.22,   -1.19,    1.25,   -5.46,   -3.12,   -1.06,   -1.24,   -2.91,   -3.43,   -0.06,   -1.83,   -0.70,    1.80
192704,  -99.99,    3.75,    0.31,    0.86,    4.79,    1.27,    0.73,   -0.03,    0.95,    5.07,    4.72,    2.88,    0.33,    0.63,    0.79,   -0.12,    0.02,   -0.19,    1.26
192705,  -99.99,    9.53,    7.38,    5.66,   10.23,    8.75,    7.37,    6.29,    5.64,    9.86,   10.33,    8.90,    8.67,    5.49,    8.67,    6.97,    5.90,    6.29,    5.46
192706,  -99.99,   -2.52,   -1.32,   -2.22,   -3.56,   -1.69,   -0.63,   -2.21,   -2.20,   -3.30,   -3.63,   -1.60,   -1.74,   -2.12,    0.37,   -1.92,   -2.38,   -3.21,   -1.92
192707,  -99.99,    4.92,    5.35,    7.91,    5.34,    5.37,    4.80,    6.22,    8.07,    6.42,    5.00,    4.64,    5.85,    3.35,    5.81,    5.79,    6.47,    6.35,    8.51
192708,  -99.99,   -0.29,    0.25,    2.61,   -0.75,    0.00,   -0.12,    1.51,    2.68,   -2.66,   -0.14,    0.03,   -0.02,   -1.06,    0.52,    0.73,    1.96,    1.61,    2.94
