This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.59,    0.24,   -0.33,    0.36,   -0.51,    0.17,   -0.29,   -0.95,    0.58,    1.38,   -1.36,   -1.00,    0.08,   -0.47,    0.32,   -1.21,    1.10
196308,    5.55,    4.16,    4.91,    6.31,    5.90,    4.91,    6.54,    5.09,    4.66,    5.82,    7.17,    5.42,    6.48,    6.92,    4.43,    6.62,    6.42
196309,   -1.90,   -2.37,   -1.68,    0.02,   -1.21,   -0.17,   -2.27,   -0.69,   -3.11,   -0.85,    1.51,    0.96,   -3.81,   -1.77,    0.22,   -1.92,   -2.78
196310,    0.17,    1.32,    2.71,    6.06,    5.30,    2.90,    0.77,    1.74,    4.16,    8.47,    2.01,    5.64,    4.88,    2.72,    2.94,    0.24,    1.56
196311,   -0.98,   -0.81,    0.27,   -3.31,   -1.08,    2.69,   -0.98,    0.17,    0.41,   -4.88,   -0.48,   -1.63,   -0.39,   -0.90,    3.54,   -1.14,   -0.75
196312,    2.46,    2.97,    2.79,    1.09,    3.27,    1.82,    1.27,    1.31,    4.95,    1.68,    0.11,    2.66,    4.03,    2.95,    1.56,    1.62,    0.75
196401,    2.90,    2.33,    4.14,    2.28,    2.37,    3.02,    0.22,    2.94,    5.84,    1.54,    3.56,    3.65,    0.79,    3.01,    3.02,   -0.12,    0.73
196402,    2.44,    2.66,    2.07,    1.40,    2.49,    0.41,    0.99,    2.57,    1.38,    0.78,    2.44,    4.08,    0.47,    0.58,    0.37,    1.22,    0.66
196403,    2.74,    2.71,    1.87,    1.17,    2.82,    0.07,    0.91,    1.79,    1.98,    1.19,    1.13,    3.14,    2.41,    1.11,   -0.18,   -0.02,    2.29
196404,    0.68,    0.59,    0.43,    1.75,   -2.23,    1.47,    0.31,   -0.44,    1.63,    3.25,   -0.74,   -2.38,   -2.02,    0.01,    1.81,    1.02,   -0.72
196405,    1.69,    1.93,    1.09,    2.49,    2.31,    0.50,    0.71,    0.48,    1.91,    3.27,    1.14,    3.45,    0.79,   -0.04,    0.62,    0.08,    1.62
196406,    1.49,    1.38,    0.80,    1.87,    0.64,    3.69,    1.51,    0.90,    0.66,    1.49,    2.55,    0.77,    0.46,    1.25,    4.24,    2.18,    0.55
196407,    1.82,    3.10,    2.27,    4.22,   -0.51,    2.73,    0.67,    2.35,    2.07,    3.11,    4.93,   -0.94,   -0.28,    2.61,    2.82,    0.11,    1.54
196408,   -1.99,   -0.89,   -1.15,    0.25,   -2.19,   -0.31,   -1.50,   -1.10,   -1.29,   -0.72,    0.87,   -3.55,   -1.48,   -0.80,    0.06,   -1.60,   -1.33
196409,    3.03,    3.19,    3.66,    3.61,    0.83,    4.06,    4.49,    3.69,    3.57,    3.48,    3.69,    1.41,    0.53,    3.83,    4.23,    5.65,    2.68
196410,    3.43,    0.35,    0.97,    0.61,   -0.86,    1.62,    0.11,    0.78,    1.49,    1.46,    0.08,   -1.63,   -0.46,    2.30,    1.12,   -1.09,    2.03
196411,    1.92,    0.27,    1.32,   -0.32,   -0.90,    0.91,   -0.26,    1.58,    0.59,    2.24,   -1.94,   -0.42,   -1.14,    1.06,    0.79,   -0.73,    0.47
196412,   -0.48,   -1.05,    0.61,    1.08,    1.81,   -0.29,    0.60,    1.09,   -0.72,   -0.18,    1.92,   -0.13,    2.80,   -1.19,    0.40,    0.57,    0.65
196501,    1.93,    4.13,    4.50,    3.08,    3.93,    4.64,    5.50,    4.30,    5.06,    2.94,    3.17,    7.97,    1.92,    4.87,    4.48,    5.28,    5.83
196502,   -0.87,    1.41,    0.99,   -0.08,    1.32,    0.68,    3.04,    0.39,    2.70,    1.34,   -1.00,    2.23,    0.83,    1.92,   -0.25,    3.03,    3.07
196503,   -2.28,   -0.36,   -2.03,   -0.52,   -0.69,   -0.87,   -1.33,   -2.38,   -1.05,   -2.49,    0.79,   -0.25,   -0.92,    0.37,   -1.83,   -2.13,   -0.11
196504,    1.98,    1.77,    2.15,    6.07,    4.13,    3.58,    3.58,    1.36,    4.33,    6.17,    6.00,    5.33,    3.49,    4.07,    3.19,    3.59,    3.56
196505,    0.03,   -0.64,    0.37,   -2.03,    0.73,   -0.50,    1.20,    0.60,   -0.26,   -0.77,   -2.85,   -1.06,    1.70,   -0.87,   -0.20,    1.85,    0.23
196506,   -3.11,   -5.37,   -5.12,   -5.43,   -4.77,   -5.30,   -6.51,   -4.91,   -5.71,   -4.20,   -6.24,   -5.01,   -4.64,   -4.47,   -5.97,   -5.60,   -7.87
196507,    2.24,    2.45,    1.63,    0.26,    3.78,    2.10,    0.53,    0.78,    2.69,    0.27,    0.22,    4.10,    3.58,    2.98,    0.92,    0.11,    2.00
196508,    4.12,    3.86,    3.06,    1.71,    4.85,    2.93,    1.91,    2.28,    4.03,    1.19,    2.91,    4.70,    4.94,    2.62,    3.35,    1.17,    4.43
196509,    3.47,    2.27,    2.32,    4.17,    4.34,    4.74,    1.67,    2.55,    2.03,    5.33,    1.55,    6.67,    2.87,    5.10,    4.24,    1.21,    3.17
196510,    2.95,    3.65,    2.97,    4.01,    3.14,    2.26,    0.68,    3.38,    2.47,    4.39,    3.12,    2.75,    3.40,    2.03,    2.58,   -0.42,    4.24
196511,    2.39,   -0.13,   -0.31,   -0.60,    1.21,    1.94,   -1.83,   -0.97,    0.50,   -2.01,    2.72,    0.00,    1.99,    1.25,    2.89,   -2.99,    1.77
196512,    1.10,    3.08,    1.80,    0.33,    0.23,    2.15,    0.35,    2.11,    1.42,    0.51,   -0.10,    3.03,   -1.55,    1.66,    2.81,   -0.18,    1.93
196601,    2.18,    1.23,    1.45,   -0.50,    1.78,    1.37,   -0.43,    0.41,    2.74,    0.17,   -2.01,    1.67,    1.85,    0.83,    2.08,   -1.06,    1.37
196602,   -1.15,   -2.31,   -1.92,   -2.02,    0.87,   -0.55,    0.23,   -1.70,   -2.18,   -2.85,   -0.13,   -1.96,    2.74,    0.66,   -2.11,   -0.26,    1.62
196603,   -1.81,   -0.04,   -2.43,   -2.85,   -0.40,   -1.93,   -3.83,   -2.90,   -1.85,   -3.31,   -1.81,   -0.87,   -0.11,   -2.71,   -0.90,   -3.98,   -3.42
196604,    2.87,    2.65,    1.98,    0.81,    5.23,    2.18,    2.22,    0.99,    3.16,    0.30,    1.93,    5.08,    5.32,    2.70,    1.50,    1.61,    3.88
196605,   -6.27,   -5.20,   -4.91,   -5.52,   -4.88,   -5.31,   -3.88,   -4.01,   -5.97,   -6.01,   -4.46,   -7.25,   -3.40,   -6.50,   -3.74,   -3.28,   -5.51
196606,    0.40,   -0.74,   -1.68,   -2.09,   -0.97,   -1.84,    0.50,   -1.33,   -2.09,   -2.61,   -1.00,    0.21,   -1.68,   -2.05,   -1.58,    0.63,    0.14
196607,   -0.32,   -1.17,   -0.17,   -2.34,   -2.02,   -2.28,   -1.20,   -0.90,    0.57,   -3.40,   -0.66,   -2.27,   -1.45,   -1.46,   -3.76,   -1.61,   -0.79
196608,   -6.41,   -9.52,   -7.47,   -6.80,   -7.33,   -7.23,   -8.76,   -6.92,   -8.02,   -6.95,   -6.55,   -6.35,   -9.60,   -5.55,  -10.28,   -8.92,   -8.60
196609,    2.22,    1.68,   -1.93,    0.12,   -2.83,   -0.94,   -3.20,   -5.15,    1.31,   -0.36,    0.85,   -3.62,   -0.93,   -0.68,   -1.44,   -2.93,   -3.47
196610,    7.02,    6.70,    2.57,    4.17,    2.81,    6.21,    0.56,    4.69,    0.58,    4.19,    4.14,    2.53,    3.47,    8.42,    1.95,    0.64,    0.49
196611,   -0.61,    0.08,    0.58,    0.77,    6.59,    1.52,    6.92,    1.26,   -0.09,   -0.04,    2.02,    8.52,    2.13,   -1.42,    7.55,    6.94,    6.90
196612,   -1.09,    2.84,    0.53,   -1.75,    0.11,    1.58,    2.55,    1.10,   -0.04,   -3.05,    0.19,   -0.85,    2.47,    2.47,   -0.08,    3.42,    1.66
196701,    6.37,    6.93,    9.17,    7.51,    9.72,    7.94,   10.70,    8.40,    9.96,    7.27,    7.85,    9.14,   11.11,    6.97,    9.80,    9.92,   11.50
196702,   -0.16,   -0.72,    0.35,    0.54,    3.46,    1.67,    2.41,    1.02,   -0.31,   -0.44,    1.95,    4.31,    1.45,    1.86,    1.32,    2.11,    2.73
196703,    4.27,    2.97,    3.87,    2.68,    5.47,    5.76,    6.00,    3.57,    4.17,    2.93,    2.33,    6.13,    3.88,    4.65,    7.83,    5.89,    6.11
196704,    2.44,    2.46,    5.49,    5.62,    8.00,    2.02,    4.48,    2.93,    8.06,    6.57,    4.27,    8.19,    7.53,    1.02,    3.86,    4.87,    4.08
196705,   -2.95,   -2.97,   -5.40,   -4.76,   -4.64,   -4.84,   -3.23,   -5.03,   -5.75,   -6.45,   -2.31,   -4.64,   -4.63,   -5.60,   -3.49,   -4.34,   -2.09
196706,    2.50,    2.09,   -0.37,    1.87,    3.96,    3.54,    4.66,    0.81,   -1.51,    1.18,    2.82,    4.22,    3.30,    4.05,    2.66,    2.69,    6.61
196707,    8.45,    5.18,    6.57,    4.32,    4.38,    1.14,    4.83,    6.81,    6.07,    3.79,    5.58,    4.46,    4.33,   -1.04,    3.57,    4.39,    5.31
196708,   -0.79,   -0.46,   -0.67,   -0.39,   -0.69,   -0.99,   -0.94,   -0.47,   -1.06,   -0.30,   -0.60,   -0.66,   -0.71,   -1.31,   -0.64,    0.24,   -2.19
196709,    2.84,    1.04,    4.15,    2.75,    3.76,    4.96,    2.29,    3.61,    5.24,    3.16,    1.78,    2.15,    4.71,    3.14,    6.88,    1.55,    3.11
