This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and
administrative expenses, minus interest expense) divided by book equity
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm's accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,   -0.87,    0.38,    0.03,   -0.40,    1.08,   -0.12,   -1.05,    0.52,   -1.37,    0.05,   -1.47,    2.17,   -0.87,    1.00,   -1.06,   -1.04,   -0.26,    0.94
196308,    5.47,    4.91,    5.83,    5.16,    4.37,    5.33,    5.46,    6.04,    5.57,    4.98,    5.87,    3.75,    5.44,    5.17,    5.58,    5.38,    6.00,    6.06
196309,   -1.60,   -0.82,   -1.47,   -2.31,   -1.99,    0.54,   -1.87,   -1.41,   -2.97,   -2.01,   -0.69,   -2.53,    2.12,   -1.79,   -2.26,   -1.60,   -2.27,   -0.95
196310,    0.92,    1.43,    6.03,    1.10,    0.21,    2.35,    2.54,    7.09,    0.79,    1.25,    0.68,    0.01,    3.24,    1.00,    0.80,    3.70,    3.26,    9.10
196311,   -1.45,    0.28,   -1.38,   -1.20,   -1.01,    1.05,    0.42,   -2.49,    0.23,   -1.85,   -1.76,   -0.69,    2.03,   -0.48,   -0.70,    1.15,    0.28,   -3.87
196312,    2.13,    2.42,    2.05,    1.28,    3.85,    1.47,    2.59,    1.86,    1.91,    0.98,    3.21,    4.12,    0.34,    3.27,    2.82,    2.45,    3.13,    1.20
196401,    2.26,    2.88,    2.60,    2.22,    4.28,    2.32,    1.61,    2.85,    1.86,    2.39,    2.32,    5.10,    3.11,    1.09,    0.94,    2.05,    2.00,    3.30
196402,    2.23,    1.30,    2.20,    2.33,    1.72,    1.13,    1.62,    2.41,    3.73,    1.68,    2.10,    1.56,    0.83,    1.62,    1.41,    1.75,    2.17,    2.54
196403,    3.50,    1.25,    1.73,    2.64,    2.90,    0.37,    1.57,    2.08,    2.80,    2.56,    4.57,    2.21,    0.10,    0.81,    2.56,    0.95,    2.46,    1.88
196404,    1.76,    0.90,   -0.34,    3.72,    1.53,    0.28,   -1.13,    0.40,    0.01,    5.50,   -0.62,    2.44,    0.99,   -0.82,    0.22,   -2.00,   -0.54,    0.89
196405,    1.84,    1.15,    2.00,    1.24,    2.22,    0.68,    0.54,    2.78,    2.28,    0.76,    2.60,    2.07,    0.83,    0.44,    1.03,    0.21,    1.50,    3.44
196406,    1.72,    2.51,    0.65,    1.61,    0.92,    3.88,    0.68,    0.89,    2.78,    1.07,    1.87,    0.53,    4.66,    2.63,    1.56,    0.10,    1.41,    0.61
196407,    1.90,    1.62,    2.51,    1.93,    2.11,    0.73,    3.17,    2.33,    0.66,    2.51,    1.85,    2.22,   -0.53,    3.45,    3.30,    3.06,    2.44,    2.26
196408,   -1.09,   -1.07,   -1.22,   -1.31,   -1.58,   -0.65,   -0.93,   -1.30,   -2.39,   -0.83,   -0.84,   -1.88,   -0.95,   -0.02,   -0.85,   -1.00,   -1.17,   -1.38
196409,    4.33,    2.23,    3.35,    4.07,    3.76,    1.40,    3.38,    3.17,    4.82,    3.73,    4.62,    3.40,    0.66,    2.93,    2.68,    3.94,    4.00,    2.56
196410,    1.90,    1.24,    0.11,    2.88,    2.07,    0.06,    1.85,   -0.32,    0.78,    3.81,    0.80,    2.60,    0.17,   -0.16,    2.34,    1.46,   -0.11,   -0.47
196411,    0.46,    0.37,    0.42,   -0.02,    1.04,   -0.45,    1.05,    0.36,   -3.29,    1.40,    1.01,    1.05,   -1.04,    0.72,    1.59,    0.61,    2.28,   -1.07
196412,   -0.74,    0.41,    0.99,   -0.93,   -1.16,    1.76,    0.39,    1.03,   -0.93,   -0.93,   -0.52,   -1.42,    2.43,    0.44,   -0.23,    0.88,    1.07,    1.00
