This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.48,   -1.40,   -0.57,   -0.30,   -1.38,    0.33,    1.01,   -1.34,   -1.50,    0.03,   -1.57,    0.96,   -2.17,   -1.16,   -1.57
196308,    4.67,    6.50,    5.65,    6.40,    7.82,    4.27,    6.23,    6.33,    6.70,    5.87,    5.25,    6.18,    6.78,   10.27,    5.31
196309,   -0.78,   -1.79,   -2.19,   -2.20,   -2.41,   -0.34,   -2.26,   -2.00,   -1.50,   -1.46,   -2.90,   -3.46,   -0.17,   -2.46,   -2.36
196310,    3.19,    2.28,    1.91,    2.56,    2.80,    4.09,    0.88,    1.95,    2.63,    1.88,    1.93,    1.99,    3.40,    4.38,    1.42
196311,   -0.35,   -1.13,   -0.35,   -0.95,   -1.27,   -0.09,   -0.89,   -0.74,   -1.60,   -1.02,    0.40,   -0.34,   -1.57,   -0.19,   -2.20
196312,    2.94,    1.35,    1.50,    1.49,   -0.26,    1.51,    4.61,    1.30,    1.43,    1.72,    1.29,    1.79,    1.02,   -0.26,   -0.26
196401,    3.37,    1.75,    1.91,    2.76,   -1.00,    3.70,    2.90,    0.95,    2.35,    1.48,    2.54,    1.48,    4.16,   -0.62,   -1.31
196402,    1.29,    2.03,    1.85,    5.28,    1.84,    1.09,    1.81,    1.55,    2.82,    2.10,    1.47,    5.69,    4.56,    2.51,    1.33
196403,    1.15,    2.66,    2.26,    3.27,    0.85,    0.86,    1.64,    3.16,    1.59,    2.61,    1.78,    3.93,    2.54,    1.62,    0.24
196404,    1.33,   -0.45,   -0.47,   -2.27,   -1.34,    1.40,    1.14,   -0.95,    0.64,   -0.08,   -0.94,   -1.58,   -3.47,   -3.48,    0.66
196405,    1.72,    1.28,    0.61,    1.68,    3.98,    1.91,    1.08,    0.46,    2.46,    0.91,    0.20,    1.63,    1.73,    5.84,    1.91
196406,    1.62,    1.77,    1.94,    1.41,   -0.41,    1.79,    1.21,    1.72,    1.82,    2.29,    1.32,    1.37,    1.46,    0.53,   -1.52
196407,    1.99,    3.05,    1.21,    2.37,   -0.05,    1.64,    3.02,    2.72,    3.40,    2.11,    0.26,    1.88,    2.88,   -1.21,    1.47
196408,   -1.22,   -1.13,   -0.56,   -1.02,   -1.83,   -1.38,   -0.71,   -1.50,   -0.52,   -0.37,   -0.80,   -0.28,   -2.15,   -2.25,   -1.33
196409,    2.56,    2.19,    3.81,    5.46,    5.97,    2.58,    2.48,    1.93,    2.50,    3.09,    4.60,    5.32,    5.68,    6.59,    5.14
196410,    0.66,    1.62,    1.21,    1.88,   -1.23,    0.92,   -0.18,    1.93,    1.24,    1.36,    1.08,    2.48,    1.09,   -1.83,   -0.49
196411,    0.43,    0.03,    0.76,    0.62,   -2.32,    0.44,    0.39,    0.03,    0.04,    0.99,    0.50,    2.30,   -1.68,   -3.23,   -1.21
196412,    0.78,   -0.10,    0.18,   -0.36,   -0.57,    1.03,   -0.06,    0.16,   -0.59,   -0.30,    0.71,   -0.45,   -0.24,    0.52,   -1.90
196501,    3.02,    4.68,    4.90,    3.92,    7.43,    2.03,    5.43,    4.78,    4.52,    4.58,    5.40,    3.16,    5.51,    5.03,    9.81
196502,   -0.53,    1.88,    2.27,    3.13,    4.69,   -0.85,    0.31,    1.60,    2.44,    2.27,    2.29,    3.23,    2.98,    5.14,    4.22
196503,   -1.19,   -0.94,   -0.60,   -0.83,    0.65,   -1.41,   -0.44,   -0.70,   -1.30,   -0.46,   -0.76,   -0.51,   -1.26,    1.06,    0.31
196504,    3.29,    2.64,    4.01,    5.81,    3.27,    3.77,    1.56,    1.96,    3.81,    3.49,    4.60,    5.99,    5.56,    3.07,    3.49
196505,   -0.54,    0.09,   -0.22,   -1.17,   -1.36,   -0.38,   -1.00,    0.56,   -0.33,   -0.22,   -0.22,   -0.47,   -2.21,   -0.21,   -2.31
196506,   -4.14,   -4.80,   -6.60,   -8.25,  -11.25,   -4.07,   -4.33,   -4.16,   -6.14,   -6.74,   -6.47,   -7.92,   -8.68,   -9.50,  -12.79
196507,    1.62,    0.89,    1.73,    3.00,    5.54,    1.58,    1.71,    0.37,    1.92,    0.66,    3.11,    3.58,    2.12,    7.77,    3.33
196508,    2.11,    3.18,    4.68,    6.04,    7.34,    1.67,    3.10,    3.09,    3.32,    4.75,    4.60,    6.60,    5.18,    7.92,    6.67
196509,    2.90,    2.82,    4.08,    4.20,    4.09,    3.23,    1.72,    2.60,    3.11,    4.18,    3.99,    3.73,    4.76,    4.84,    3.23
196510,    1.59,    2.67,    5.32,    5.85,    7.36,    1.55,    1.72,    2.22,    3.27,    5.11,    5.59,    5.47,    6.44,    6.74,    8.23
196511,   -1.42,   -0.04,    3.22,    4.74,    6.62,   -2.13,    0.70,   -0.67,    0.81,    2.79,    4.07,    3.07,    6.69,    3.36,   10.48
196512,    0.11,    2.23,    2.46,    4.63,    3.72,   -0.46,    1.39,    2.95,    1.41,    2.06,    2.87,    3.92,    5.42,    3.18,    4.36
196601,   -0.73,    1.57,    3.67,    6.08,    5.90,   -1.14,    0.30,    1.60,    1.53,    3.65,    3.71,    6.71,    5.21,    4.53,    7.66
196602,   -2.19,   -2.16,    1.75,    2.56,    5.90,   -2.83,   -0.85,   -2.35,   -1.89,    1.75,    1.76,    1.41,    3.74,    5.27,    6.53
196603,   -2.89,   -1.11,   -1.20,   -0.87,   -2.26,   -3.21,   -2.01,   -0.58,   -1.70,   -3.12,    1.63,    0.88,   -2.99,   -2.93,   -1.72
196604,    1.78,    1.23,    4.55,    4.38,    5.09,    1.67,    2.07,    1.09,    1.44,    3.97,    5.32,    3.01,    5.68,    3.80,    6.51
