This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The total return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.32,   -0.40,   -1.08,   -0.23,   -1.73,    0.38,    0.22,    0.29,   -1.32,   -1.07,   -1.09,    0.86,   -2.12,   -1.81,   -1.67
196308,    4.59,    6.07,    5.91,    6.47,    7.80,    4.18,    5.25,    5.36,    7.03,    5.97,    5.83,    6.27,    6.70,    9.12,    6.43
196309,   -0.91,   -1.08,   -2.69,   -2.48,   -1.58,   -0.54,   -1.39,   -0.86,   -1.41,   -1.94,   -3.34,   -2.97,   -1.89,   -0.57,   -2.49
196310,    3.11,    2.24,    2.41,    2.36,    3.51,    1.32,    5.55,    2.80,    1.33,    2.54,    2.24,    2.17,    2.70,    6.43,    0.63
196311,    0.78,   -1.15,   -3.21,    0.07,   -1.66,    1.48,   -0.31,   -1.04,   -1.36,   -4.50,   -0.52,    0.39,   -0.42,    0.78,   -3.51
196312,    3.18,    3.19,    1.15,   -0.15,    0.63,    2.63,    3.75,    2.98,    3.39,    2.99,    0.42,    0.31,   -0.68,    2.33,   -0.89
196401,    1.98,    3.81,    2.43,    2.01,    0.72,    1.21,    2.74,    4.09,    3.26,    1.54,    2.94,    1.92,    2.19,    0.10,    1.39
196402,    1.67,    2.03,    1.31,    2.90,    1.90,    0.71,    2.63,    2.53,    1.15,    0.77,    3.51,    2.84,    3.01,    1.70,    2.16
196403,    1.07,    2.86,    1.95,    3.05,    1.28,    0.87,    1.42,    2.41,    3.29,    2.51,    1.11,    3.05,    3.04,    2.87,    0.17
196404,    1.32,   -0.28,   -0.30,   -2.51,   -1.35,    1.56,    0.68,    1.18,   -1.76,   -0.07,   -0.60,   -1.90,   -3.58,   -2.61,   -0.11
196405,    1.78,    1.20,    1.12,    0.56,    4.12,    1.87,    1.42,    0.69,    1.82,    1.08,    1.17,   -0.35,    1.69,    6.21,    1.87
196406,    1.69,    1.62,    1.87,    1.18,   -0.28,    1.82,    1.48,    1.98,    1.16,    2.50,    0.99,    1.38,    0.94,    0.90,   -1.66
196407,    1.47,    3.59,    1.94,    1.37,    0.82,    1.27,    1.86,    4.28,    2.12,    3.29,   -0.41,    1.67,    0.89,    0.57,    1.24
196408,   -1.23,   -0.97,   -0.89,   -0.98,   -1.85,   -2.10,    0.22,   -1.36,   -0.36,   -0.34,   -1.58,   -0.64,   -1.36,   -1.85,   -1.85
196409,    2.44,    2.49,    3.70,    5.18,    6.53,    2.22,    2.75,    2.75,    2.17,    3.26,    4.29,    5.20,    5.14,    7.49,    5.31
196410,    0.96,    0.55,    1.68,    1.40,   -1.06,    0.53,    2.38,    2.36,   -0.79,    1.55,    1.83,   -0.02,    3.04,   -1.52,   -0.40
196411,    0.69,   -0.06,   -0.22,    0.51,   -2.26,    1.27,   -0.49,    1.38,   -1.28,   -0.96,    0.72,    1.75,   -1.44,   -1.06,   -3.28
196412,    0.86,   -0.24,    0.27,   -0.45,   -0.47,    0.74,    1.06,    0.28,   -1.25,   -0.09,    0.77,   -0.54,   -0.28,   -0.18,   -0.71
196501,    2.96,    4.42,    4.76,    4.41,    7.20,    1.46,    5.12,    4.54,    4.24,    4.94,    4.54,    3.84,    5.42,    4.62,    9.75
196502,   -0.77,    1.66,    2.27,    3.43,    4.94,   -0.89,   -0.56,    1.53,    1.95,    2.01,    2.56,    3.27,    3.72,    5.56,    4.28
196503,   -1.19,   -0.79,   -1.01,   -0.63,    0.61,   -1.48,   -0.60,   -0.67,   -1.00,   -1.50,   -0.38,   -0.13,   -1.27,    1.36,   -0.02
